"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12
Dependent Var.:,outpatient_count,outpatient_count,outpatient_count,total_dot,total_dot,total_dot,eme_dummy,eme_dummy,eme_dummy,major,major,major
 , , , , , , , , , , , , 
CP,0.6229*** (0.1274),0.6072*** (0.1219),0.5647*** (0.1216),978.1* (419.3),979.8* (418.9),951.1* (418.9),0.0194*** (0.0029),0.0194*** (0.0029),0.0183*** (0.0029),0.0092*** (0.0025),0.0092*** (0.0025),0.0091*** (0.0026)
male,  ,-3.603*** (0.0122),-3.603*** (0.0122),  ,-696.5*** (89.48),-697.3*** (89.54),  ,-0.0149*** (0.0003),-0.0149*** (0.0003),  ,-0.0012*** (0.0002),-0.0012*** (0.0002)
patient_male,  ,-0.0275* (0.0122),-0.0315** (0.0121),  ,-73.69 (90.12),-76.54 (90.11),  ,-0.0006* (0.0003),-0.0007** (0.0003),  ,-0.0002 (0.0002),-0.0002 (0.0002)
Fixed-Effects:,------------------,------------------,------------------,--------------,-----------------,-----------------,------------------,-------------------,-------------------,------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
mother_edu,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
__________________,__________________,__________________,__________________,______________,_________________,_________________,__________________,___________________,___________________,__________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"14,920,899","14,920,899","14,920,192","14,920,899","14,920,899","14,920,192","14,920,899","14,920,899","14,920,192","14,920,899","14,920,899","14,920,192"
R2,0.01153,0.04718,0.04961,0.00085,0.00088,0.00091,0.00423,0.00466,0.00559,0.00657,0.00658,0.00662
Within R2,1.07e-5,0.03608,0.03621,6.64e-7,3.5e-5,3.5e-5,7.17e-6,0.00043,0.00044,4.03e-6,1.15e-5,1.15e-5
