"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.2675. (0.1557),0.2488 (0.1554),6.461 (456.2),-8.013 (456.2),0.0154*** (0.0039),0.0146*** (0.0039),0.0038 (0.0031),0.0037 (0.0031)
patient_male,-0.0100 (0.0156),-0.0110 (0.0156),-93.68 (149.6),-93.94 (149.6),-0.0009* (0.0004),-0.0009* (0.0004),-0.0003 (0.0003),-0.0003 (0.0003)
Fixed-Effects:,----------------,----------------,--------------,--------------,------------------,------------------,----------------,----------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,________________,________________,______________,______________,__________________,__________________,________________,________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"7,625,680","7,625,280","7,625,680","7,625,280","7,625,680","7,625,280","7,625,680","7,625,280"
R2,0.01189,0.01316,0.00072,0.00073,0.00319,0.00416,0.00850,0.00853
Within R2,2.88e-6,2.62e-6,4.26e-7,4.28e-7,6.03e-6,5.65e-6,1.02e-6,1.02e-6
