"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme,eme,eme_dummy,eme_dummy,chronic,chronic,major,major
 , , , , , , , , , , , , 
CP,0.4284 (0.2606),0.4138 (0.2602),881.4 (879.8),871.4 (879.2),0.0223. (0.0118),0.0223. (0.0118),0.0166** (0.0064),0.0162* (0.0064),-0.0007 (0.0063),-0.0009 (0.0063),0.0015 (0.0054),0.0015 (0.0054)
male,-2.581*** (0.0278),-2.581*** (0.0277),-414.9 (271.1),-417.0 (270.3),-0.0182*** (0.0018),-0.0192*** (0.0015),-0.0111*** (0.0006),-0.0111*** (0.0006),0.0176*** (0.0006),0.0176*** (0.0006),0.0005 (0.0006),0.0005 (0.0006)
patient_male,-0.0276 (0.0277),-0.0313 (0.0276),379.8 (266.8),376.2 (265.3),0.0001 (0.0017),-0.0008 (0.0014),-0.0007 (0.0006),-0.0008 (0.0006),-0.0003 (0.0006),-0.0003 (0.0006),0.0002 (0.0006),0.0002 (0.0006)
Fixed-Effects:,------------------,------------------,--------------,--------------,-------------------,-------------------,-------------------,-------------------,------------------,------------------,---------------,---------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,______________,______________,___________________,___________________,___________________,___________________,__________________,__________________,_______________,_______________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"2,436,447","2,436,364","2,436,447","2,436,364","2,436,447","2,436,364","2,436,447","2,436,364","2,436,447","2,436,364","2,436,447","2,436,364"
R2,0.03329,0.03537,0.00066,0.00067,0.00190,0.00295,0.00368,0.00446,0.01423,0.01438,0.00519,0.00522
Within R2,0.02137,0.02157,1.43e-5,1.42e-5,0.00016,0.00022,0.00028,0.00028,0.00107,0.00107,1.73e-6,1.69e-6
