"",income_reg_list[[1]],income_reg_list[[2]],log_income_reg_li..,log_income_reg_li..,work_reg_list[[1]],work_reg_list[[2]],edu_reg_list[[1]],edu_reg_list[[2]],edu_reg_list[[3]],edu_reg_list[[4]]
Dependent Var.:,income,income,log_income,log_income,work,work,highest_edu,highest_edu,bachelor,bachelor
 , , , , , , , , , , 
CP,"-27,106.8*** (5,452.9)","-24,760.4*** (5,425.0)",-0.0442*** (0.0110),-0.0393*** (0.0109),-0.0334*** (0.0088),-0.0326*** (0.0088),-0.1518** (0.0513),-0.0908. (0.0492),-0.0257** (0.0094),-0.0156. (0.0091)
patient_male,"1,114.3. (596.5)","1,125.8. (590.7)",0.0026* (0.0011),0.0027* (0.0011),0.0010 (0.0009),0.0010 (0.0009),-0.0278*** (0.0056),-0.0277*** (0.0054),-0.0059*** (0.0010),-0.0059*** (0.0010)
Fixed-Effects:,----------------------,----------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,______________________,______________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________
S.E. type,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.
Observations,"7,625,680","7,625,280","5,334,666","5,334,468","7,625,680","7,625,280","832,264","832,226","832,264","832,226"
R2,0.07649,0.08757,0.12875,0.13749,0.00820,0.01233,0.07003,0.14639,0.07354,0.13699
Within R2,2.58e-5,2.25e-5,1.89e-5,1.65e-5,1.43e-5,1.36e-5,4e-5,3.6e-5,4.97e-5,4.71e-5
