"",model 1,model 2,model 3,model 4
Dependent Var.:,outpatient_count,total_dot,eme_dummy,major
 , , , , 
CP,0.8823*** (0.2666),577.3 (506.2),0.0178*** (0.0047),0.0088. (0.0045)
male,-6.687*** (0.0306),"-2,515.9*** (144.3)",-0.0129*** (0.0005),-0.0111*** (0.0005)
patient_male,-0.0186 (0.0306),-65.21 (143.4),-0.0013* (0.0005),3.48e-5 (0.0005)
Fixed-Effects:,------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
__________________,__________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"5,910,887","5,910,887","5,910,887","5,910,887"
R2,0.11365,0.00553,0.00942,0.00465
Within R2,0.05293,0.00036,0.00028,0.00055
