"",model 1,model 2,model 3,model 4
Dependent Var.:,outpatient_count,total_dot,eme_dummy,major
 , , , , 
CP,1.205*** (0.2072),"1,261.2* (561.9)",0.0177*** (0.0036),0.0106** (0.0034)
male,-6.633*** (0.0231),"-2,337.0*** (125.1)",-0.0154*** (0.0004),-0.0113*** (0.0003)
patient_male,-0.0446. (0.0231),-137.3 (125.3),-0.0012** (0.0004),0.0001 (0.0003)
Fixed-Effects:,------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
__________________,__________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"10,434,422","10,434,422","10,434,422","10,434,422"
R2,0.11132,0.00407,0.00978,0.00446
Within R2,0.05179,0.00023,0.00039,0.00057
