"",model 1,model 2,model 3,model 4
Dependent Var.:,outpatient_count,total_dot,eme_dummy,major
 , , , , 
CP,0.9601** (0.3610),"2,118.7. (1,261.5)",0.0252*** (0.0066),-0.0012 (0.0053)
male,-6.637*** (0.0231),"-2,331.9*** (124.8)",-0.0154*** (0.0004),-0.0112*** (0.0003)
patient_male,-0.0377 (0.0231),-132.7 (125.0),-0.0010** (0.0004),0.0002 (0.0003)
Fixed-Effects:,------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
__________________,__________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"10,467,757","10,467,757","10,467,757","10,467,757"
R2,0.11136,0.00409,0.00979,0.00446
Within R2,0.05178,0.00023,0.00038,0.00056
