"",model 1,model 2,model 3,model 4,model 5,model 6
Dependent Var.:,income,income,log_income,log_income,work,work
 , , , , , , 
CP,"-10,716.9* (5,097.5)","-10,679.5* (5,100.1)",-0.0158 (0.0119),-0.0155 (0.0119),-0.0075 (0.0063),-0.0074 (0.0062)
male,  ,"29,995.6*** (613.3)",  ,0.0615*** (0.0014),  ,-0.0213*** (0.0007)
patient_male,  ,"-2,099.3*** (612.7)",  ,-0.0052*** (0.0014),  ,-0.0011 (0.0007)
Fixed-Effects:,--------------------,--------------------,----------------,-------------------,----------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
__________________,____________________,____________________,________________,___________________,________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"10,493,252","10,493,252","8,175,473","8,175,473","10,493,252","10,493,252"
R2,0.13803,0.13968,0.11610,0.11739,0.01225,0.01291
Within R2,3.24e-6,0.00191,1.27e-6,0.00146,1.11e-6,0.00067
