outcome,mean,sd,count
outpatient,15.2208819297764,15.0582154079987,10465958
total_dot,13393.9498857154,76624.290006762,10465958
eme_dummy,0.196728479132058,0.96881199269626,10465958
major,0.0600616780613871,0.237601090662314,10465958
chronic,0.738929011563014,0.439218562752031,10465958
no diagnosis,0.000509843437170292,0.0311222679031154,10465958
md,0.0953994846912248,0.293765946388463,10465958
md_visit,0.531591374626185,3.075319247879,10465958
psy,0.0148936198673836,0.121127211461701,10465958
psy_visit,0.123604833881426,1.61065509171582,10465958
anx,0.0499021685353605,0.217742845211815,10465958
anx_visit,0.226869054892058,1.75214840888462,10465958
dep,0.0273758025782257,0.163175888401183,10465958
dep_visit,0.190318172497918,1.89424553152774,10465958
avoid,0.832220710230254,0.373670192864512,10465958
eme_non_major,0.276057289738789,0.879351613908469,10465958
