"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12,model 13,model 14,model 15,model 16,model 17,model 18,model 19,model 20,model 21,model 22,model 23,model 24
Dependent Var.:,outpatient_count,outpatient_count,outpatient_count,outpatient_count,outpatient_count,outpatient_count,total_dot,total_dot,total_dot,total_dot,total_dot,total_dot,eme_dummy,eme_dummy,eme_dummy,eme_dummy,eme_dummy,eme_dummy,major,major,major,major,major,major
 , , , , , , , , , , , , , , , , , , , , , , , , 
CP,0.6703* (0.2721),0.6026* (0.2713),0.5293. (0.2719),0.4705. (0.2620),0.3249 (0.2618),0.2746 (0.2613),448.7* (182.5),417.0* (182.1),91.05 (182.2),355.3* (179.8),-6.388 (179.1),-27.44 (178.9),0.0215* (0.0107),0.0194. (0.0107),0.0188. (0.0107),0.0200. (0.0107),0.0174 (0.0107),0.0157 (0.0106),0.0104. (0.0063),0.0104. (0.0063),0.0038 (0.0062),0.0093 (0.0063),0.0026 (0.0062),0.0027 (0.0062)
male,1.971*** (0.0265),1.982*** (0.0264),1.871*** (0.0269),1.943*** (0.0256),1.856*** (0.0260),1.870*** (0.0259),"1,334.1*** (27.77)","1,339.0*** (27.78)","1,278.0*** (28.76)","1,321.0*** (27.52)","1,271.1*** (28.53)","1,276.5*** (28.56)",0.0336*** (0.0011),0.0338*** (0.0011),0.0308*** (0.0011),0.0334*** (0.0011),0.0307*** (0.0011),0.0311*** (0.0011),0.0061*** (0.0006),0.0061*** (0.0006),0.0065*** (0.0006),0.0059*** (0.0006),0.0065*** (0.0006),0.0064*** (0.0006)
WEEK,  ,  ,-0.7226** (0.2347),  ,-1.336*** (0.2275),-1.438*** (0.2282),  ,  ,"-17,175.2*** (812.2)",  ,"-17,468.4*** (810.3)","-17,509.9*** (810.8)",  ,  ,-0.0077 (0.0087),  ,-0.0124 (0.0087),-0.0158. (0.0087),  ,  ,-0.1841*** (0.0074),  ,-0.1872*** (0.0073),-0.1869*** (0.0073)
WEEK_2,  ,  ,0.0039 (0.0031),  ,0.0122*** (0.0030),0.0137*** (0.0030),  ,  ,220.9*** (10.61),  ,224.8*** (10.58),225.4*** (10.59),  ,  ,-1.48e-5 (0.0001),  ,4.88e-5 (0.0001),9.82e-5 (0.0001),  ,  ,0.0023*** (9.59e-5),  ,0.0024*** (9.58e-5),0.0024*** (9.57e-5)
WEIGHT,  ,  ,-0.0037*** (0.0004),  ,-0.0033*** (0.0004),-0.0028*** (0.0004),  ,  ,-7.208*** (0.5382),  ,-7.034*** (0.5359),-6.834*** (0.5360),  ,  ,-8.28e-5*** (1.38e-5),  ,-8.01e-5*** (1.38e-5),-6.27e-5*** (1.38e-5),  ,  ,-0.0003*** (1.02e-5),  ,-0.0003*** (1.01e-5),-0.0003*** (1.01e-5)
WEIGHT_2,  ,  ,6.54e-7*** (5.77e-8),  ,5.77e-7*** (5.6e-8),4.95e-7*** (5.6e-8),  ,  ,0.0012*** (8.35e-5),  ,0.0011*** (8.31e-5),0.0011*** (8.31e-5),  ,  ,1.57e-8*** (2.19e-9),  ,1.51e-8*** (2.19e-9),1.23e-8*** (2.19e-9),  ,  ,4.04e-8*** (1.59e-9),  ,4e-8*** (1.59e-9),4.03e-8*** (1.59e-9)
f_outpatient_count,  ,  ,  ,0.2361*** (0.0023),0.2353*** (0.0023),0.2344*** (0.0023),  ,  ,  ,114.2*** (1.964),113.5*** (1.939),113.0*** (1.941),  ,  ,  ,0.0023*** (8.16e-5),0.0023*** (8.16e-5),0.0023*** (8.15e-5),  ,  ,  ,0.0004*** (4.89e-5),0.0004*** (4.86e-5),0.0004*** (4.86e-5)
m_outpatient_count,  ,  ,  ,0.2761*** (0.0016),0.2767*** (0.0016),0.2722*** (0.0016),  ,  ,  ,129.1*** (1.748),132.0*** (1.729),130.1*** (1.727),  ,  ,  ,0.0020*** (6.05e-5),0.0020*** (6.04e-5),0.0019*** (6.04e-5),  ,  ,  ,0.0016*** (3.68e-5),0.0016*** (3.65e-5),0.0016*** (3.66e-5)
Fixed-Effects:,-----------------,-----------------,--------------------,------------------,-------------------,-------------------,------------------,------------------,--------------------,------------------,--------------------,--------------------,------------------,------------------,---------------------,-------------------,---------------------,---------------------,------------------,------------------,--------------------,-------------------,--------------------,--------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes
mother_edu,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes
__________________,_________________,_________________,____________________,__________________,___________________,___________________,__________________,__________________,____________________,__________________,____________________,____________________,__________________,__________________,_____________________,___________________,_____________________,_____________________,__________________,__________________,____________________,___________________,____________________,____________________
S.E. type,Heteroskeda.-rob.,Heteroskeda.-rob.,Heteroskedasti.-rob.,Heteroskedas.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedas.-rob.,Heteroskedas.-rob.,Heteroskedasti.-rob.,Heteroskedas.-rob.,Heteroskedasti.-rob.,Heteroskedasti.-rob.,Heteroskedas.-rob.,Heteroskedas.-rob.,Heteroskedastic.-rob.,Heteroskedast.-rob.,Heteroskedastic.-rob.,Heteroskedastic.-rob.,Heteroskedas.-rob.,Heteroskedas.-rob.,Heteroskedasti.-rob.,Heteroskedast.-rob.,Heteroskedasti.-rob.,Heteroskedasti.-rob.
Observations,"843,587","843,582","843,587","843,587","843,587","843,582","843,587","843,582","843,587","843,587","843,587","843,582","843,587","843,582","843,587","843,587","843,587","843,582","843,587","843,582","843,587","843,587","843,587","843,582"
R2,0.03299,0.04073,0.03595,0.09804,0.10104,0.10672,0.01327,0.01473,0.03478,0.02655,0.04841,0.04931,0.01120,0.01491,0.01195,0.01385,0.01460,0.01801,0.00641,0.00649,0.01917,0.00904,0.02194,0.02212
Within R2,0.00650,0.00663,0.00955,0.07334,0.07642,0.07496,0.00268,0.00270,0.02443,0.01611,0.03820,0.03771,0.00117,0.00119,0.00193,0.00385,0.00461,0.00434,0.00012,0.00012,0.01295,0.00276,0.01575,0.01585
