V1,V2,V3
outpatient_count1,22.2774984223118,12.3899731361479
outpatient_count2,22.2775416678551,12.3899866969424
outpatient_count3,22.2774984223118,12.3899731361479
outpatient_count4,22.2774984223118,12.3899731361479
outpatient_count5,22.2774984223118,12.3899731361479
outpatient_count6,22.2775416678551,12.3899866969424
total_dot1,10599.2426609272,12968.2575441497
total_dot2,10599.2653705183,12968.2890344338
total_dot3,10599.2426609272,12968.2575441497
total_dot4,10599.2426609272,12968.2575441497
total_dot5,10599.2426609272,12968.2575441497
total_dot6,10599.2653705183,12968.2890344338
eme_dummy1,0.430097418533647,0.495089810452436
eme_dummy2,0.430097597383458,0.495089835706294
eme_dummy3,0.430097418533647,0.495089810452436
eme_dummy4,0.430097418533647,0.495089810452436
eme_dummy5,0.430097418533647,0.495089810452436
eme_dummy6,0.430097597383458,0.495089835706294
major1,0.0907346025354727,0.287231496338614
major2,0.0907339532407275,0.287230571180551
major3,0.0907346025354727,0.287231496338614
major4,0.0907346025354727,0.287231496338614
major5,0.0907346025354727,0.287231496338614
major6,0.0907339532407275,0.287230571180551
