"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12,model 13,model 14,model 15,model 16,model 17,model 18,model 19,model 20,model 21,model 22,model 23,model 24
Dependent Var.:,f_first_event_income,f_first_event_income,f_first_event_work,f_first_event_work,m_first_event_income,m_first_event_income,m_first_event_work,m_first_event_work,family_first_event_income,family_first_event_income,either_first_event_work,either_first_event_work,f_second_event_income,f_second_event_income,f_second_event_work,f_second_event_work,m_second_event_income,m_second_event_income,m_second_event_work,m_second_event_work,family_second_event_income,family_second_event_income,either_second_event_work,either_second_event_work
 , , , , , , , , , , , , , , , , , , , , , , , , 
CP,"-15,218.5** (5,264.2)","-6,367.3 (4,635.3)",-0.0051 (0.0081),0.0042 (0.0076),"-12,072.0** (3,895.8)","-4,737.2 (3,555.8)",-0.0140. (0.0081),-0.0026 (0.0076),"-28,972.6*** (7,448.9)","-10,246.2 (6,436.4)",-0.0034 (0.0064),0.0053 (0.0061),"-18,806.5** (6,341.0)","-7,582.3 (5,446.3)",-0.0183* (0.0082),-0.0081 (0.0077),"-20,630.1*** (4,446.5)","-11,945.5** (4,014.4)",-0.0290*** (0.0086),-0.0168* (0.0082),"-41,564.7*** (8,721.4)","-18,650.4* (7,333.1)",-0.0217** (0.0070),-0.0114. (0.0066)
Fixed-Effects:,---------------------,--------------------,------------------,------------------,---------------------,--------------------,------------------,------------------,-------------------------,-------------------------,-----------------------,-----------------------,---------------------,---------------------,-------------------,-------------------,----------------------,---------------------,-------------------,-------------------,--------------------------,--------------------------,------------------------,------------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
m_birth_year,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
mother_edu,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes
_______________,_____________________,____________________,__________________,__________________,_____________________,____________________,__________________,__________________,_________________________,_________________________,_______________________,_______________________,_____________________,_____________________,___________________,___________________,______________________,_____________________,___________________,___________________,__________________________,__________________________,________________________,________________________
S.E. type,Heteroskedastic.-rob.,Heteroskedasti.-rob.,Heteroskedas.-rob.,Heteroskedas.-rob.,Heteroskedastic.-rob.,Heteroskedasti.-rob.,Heteroskedas.-rob.,Heteroskedas.-rob.,Heteroskedasticity-robust,Heteroskedasticity-robust,Heteroskedasticity-rob.,Heteroskedasticity-rob.,Heteroskedastic.-rob.,Heteroskedastic.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedastici.-rob.,Heteroskedastic.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedasticity-robust,Heteroskedasticity-robust,Heteroskedasticity-robu.,Heteroskedasticity-robu.
Observations,"1,071,490","1,071,479","1,071,490","1,071,479","1,075,618","1,075,590","1,075,618","1,075,590","1,071,225","1,071,186","1,071,225","1,071,186","1,071,490","1,071,479","1,071,490","1,071,479","1,075,618","1,075,590","1,075,618","1,075,590","1,071,225","1,071,186","1,071,225","1,071,186"
R2,0.13122,0.30813,0.03740,0.12736,0.18167,0.30859,0.09424,0.20060,0.23021,0.41911,0.08024,0.15915,0.09511,0.30548,0.02730,0.12717,0.13041,0.27238,0.06168,0.15076,0.18368,0.40450,0.06120,0.14145
Within R2,7.2e-6,1.58e-6,3.92e-7,2.98e-7,8.02e-6,1.46e-6,2.93e-6,1.14e-7,1.28e-5,2.13e-6,2.94e-7,7.64e-7,7.84e-6,1.66e-6,4.97e-6,1.1e-6,1.72e-5,6.89e-6,1.07e-5,3.97e-6,1.95e-5,5.37e-6,1.02e-5,3.09e-6
