"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12,model 13,model 14,model 15,model 16
Dependent Var.:,outpatient_count,outpatient_count,outpatient_count,outpatient_count,total_dot,total_dot,total_dot,total_dot,eme_dummy,eme_dummy,eme_dummy,eme_dummy,major,major,major,major
 , , , , , , , , , , , , , , , , 
CP,0.8508*** (0.1608),0.6701*** (0.1549),0.8414*** (0.1603),0.6665*** (0.1546),"1,555.0*** (216.1)","1,376.0*** (216.7)","1,540.5*** (216.5)","1,366.6*** (217.2)",0.0402*** (0.0038),0.0377*** (0.0037),0.0391*** (0.0038),0.0367*** (0.0037),0.0169*** (0.0031),0.0158*** (0.0031),0.0169*** (0.0031),0.0158*** (0.0031)
male,1.032*** (0.0164),1.022*** (0.0159),1.037*** (0.0163),1.027*** (0.0158),"1,882.2*** (153.5)","1,892.6*** (162.2)","1,887.4*** (154.1)","1,897.2*** (162.8)",0.0407*** (0.0004),0.0396*** (0.0004),0.0409*** (0.0004),0.0398*** (0.0004),0.0104*** (0.0003),0.0107*** (0.0003),0.0104*** (0.0003),0.0107*** (0.0003)
patient_male,0.0319. (0.0164),0.0249 (0.0156),0.0322* (0.0163),0.0251 (0.0156),-193.8 (154.9),-196.8 (154.7),-193.2 (154.7),-196.2 (154.5),-8.54e-5 (0.0004),-0.0002 (0.0004),-6.02e-5 (0.0004),-0.0001 (0.0004),-4.28e-5 (0.0003),-4.92e-5 (0.0003),-3.92e-5 (0.0003),-4.61e-5 (0.0003)
f_outpatient_count,  ,0.1713*** (0.0016),  ,0.1708*** (0.0016),  ,84.38*** (8.083),  ,84.09*** (8.116),  ,0.0012*** (3.13e-5),  ,0.0012*** (3.13e-5),  ,0.0003*** (2.16e-5),  ,0.0003*** (2.16e-5)
m_outpatient_count,  ,0.1937*** (0.0011),  ,0.1920*** (0.0011),  ,104.9*** (6.798),  ,103.9*** (6.676),  ,0.0021*** (2.35e-5),  ,0.0020*** (2.35e-5),  ,0.0005*** (1.63e-5),  ,0.0005*** (1.63e-5)
WEEK,  ,0.0613 (0.1480),  ,0.0371 (0.1477),  ,-446.6 (767.2),  ,-471.4 (765.4),  ,0.0058. (0.0032),  ,0.0052 (0.0032),  ,0.0046. (0.0026),  ,0.0047. (0.0026)
WEEK_2,  ,-0.0022 (0.0019),  ,-0.0018 (0.0019),  ,4.032 (10.45),  ,4.375 (10.42),  ,-0.0001** (4.16e-5),  ,-0.0001** (4.16e-5),  ,-6.1e-5. (3.39e-5),  ,-6.15e-5. (3.39e-5)
WEIGHT,  ,-0.0023*** (0.0002),  ,-0.0022*** (0.0002),  ,-5.120*** (1.374),  ,-5.035*** (1.365),  ,-2.83e-5*** (4.93e-6),  ,-2.16e-5*** (4.92e-6),  ,-6.44e-5*** (4.09e-6),  ,-6.46e-5*** (4.1e-6)
WEIGHT_2,  ,3.06e-7*** (3.4e-8),  ,2.94e-7*** (3.4e-8),  ,0.0007*** (0.0002),  ,0.0007*** (0.0002),  ,4.92e-9*** (7.8e-10),  ,3.88e-9*** (7.78e-10),  ,9.4e-9*** (6.42e-10),  ,9.43e-9*** (6.42e-10)
Fixed-Effects:,------------------,-------------------,------------------,-------------------,------------------,------------------,------------------,------------------,------------------,---------------------,------------------,---------------------,------------------,---------------------,------------------,---------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
mother_edu,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
__________________,__________________,___________________,__________________,___________________,__________________,__________________,__________________,__________________,__________________,_____________________,__________________,_____________________,__________________,_____________________,__________________,_____________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"8,680,425","8,680,425","8,680,369","8,680,369","8,680,425","8,680,425","8,680,369","8,680,369","8,680,425","8,680,425","8,680,369","8,680,369","8,680,425","8,680,425","8,680,369","8,680,369"
R2,0.22179,0.25496,0.22316,0.25579,0.00147,0.00173,0.00149,0.00174,0.04060,0.04352,0.04134,0.04419,0.00188,0.00300,0.00189,0.00302
Within R2,0.00234,0.04486,0.00237,0.04427,0.00015,0.00040,0.00015,0.00040,0.00272,0.00576,0.00275,0.00571,0.00075,0.00187,0.00075,0.00188
