"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme,eme,eme_dummy,eme_dummy,chronic,chronic,major,major
 , , , , , , , , , , , , 
CP,0.9064*** (0.2382),0.8914*** (0.2370),"1,731.6*** (363.6)","1,720.1*** (361.0)",0.0868*** (0.0143),0.0848*** (0.0143),0.0355*** (0.0055),0.0345*** (0.0055),0.0116* (0.0055),0.0117* (0.0055),0.0223*** (0.0047),0.0224*** (0.0047)
patient_male,-0.0035 (0.0242),-0.0022 (0.0241),-536.0. (296.3),-533.3. (296.3),-0.0062*** (0.0012),-0.0061*** (0.0012),-0.0030*** (0.0006),-0.0029*** (0.0006),-0.0013* (0.0006),-0.0013* (0.0006),-0.0003 (0.0004),-0.0003 (0.0004)
Fixed-Effects:,------------------,------------------,------------------,------------------,-------------------,-------------------,-------------------,-------------------,-----------------,-----------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,__________________,__________________,___________________,___________________,___________________,___________________,_________________,_________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"4,366,308","4,366,260","4,366,308","4,366,260","4,366,308","4,366,260","4,366,308","4,366,260","4,366,308","4,366,260","4,366,308","4,366,260"
R2,0.22802,0.22943,0.00110,0.00113,0.04061,0.04133,0.03828,0.03892,0.05271,0.05274,0.00167,0.00169
Within R2,2.25e-5,2.18e-5,7.51e-6,7.43e-6,6.01e-5,5.79e-5,3.88e-5,3.72e-5,6.64e-6,6.7e-6,4.08e-5,4.09e-5
