"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme,eme,eme_dummy,eme_dummy,chronic,chronic,major,major
 , , , , , , , , , , , , 
CP,0.8936*** (0.2329),0.9047*** (0.2330),"1,769.8*** (301.1)","1,763.6*** (302.2)",0.1065*** (0.0159),0.1047*** (0.0158),0.0413*** (0.0054),0.0404*** (0.0054),0.0163** (0.0052),0.0164** (0.0052),0.0163*** (0.0040),0.0162*** (0.0040)
male,0.8808*** (0.0236),0.8810*** (0.0236),"1,712.0*** (208.2)","1,715.7*** (210.1)",0.0625*** (0.0013),0.0627*** (0.0012),0.0394*** (0.0006),0.0395*** (0.0006),0.0129*** (0.0006),0.0129*** (0.0006),0.0077*** (0.0004),0.0077*** (0.0004)
patient_male,0.0396. (0.0236),0.0395. (0.0236),-49.74 (204.2),-49.31 (204.1),-0.0010 (0.0012),-0.0009 (0.0012),-0.0003 (0.0006),-0.0003 (0.0006),-0.0006 (0.0006),-0.0006 (0.0006),0.0003 (0.0004),0.0003 (0.0004)
Fixed-Effects:,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"4,242,864","4,242,864","4,242,864","4,242,864","4,242,864","4,242,864","4,242,864","4,242,864","4,242,864","4,242,864","4,242,864","4,242,864"
R2,0.24003,0.24042,0.00193,0.00195,0.03806,0.03875,0.03782,0.03840,0.04483,0.04484,0.00142,0.00143
Within R2,0.00178,0.00179,0.00016,0.00016,0.00182,0.00183,0.00248,0.00250,0.00036,0.00036,0.00045,0.00045
