"","model 1","model 2","model 3","model 4","model 5","model 6","model 7","model 8"
"Dependent Var.:","highest_edu","highest_edu","highest_edu","highest_edu","highest_edu","highest_edu","highest_edu","highest_edu"
" "," "," "," "," "," "," "," "," "
"int","0.0107 (0.0082)","0.0055 (0.0081)","  ","  ","  ","  ","  ","  "
"second","-0.0712*** (0.0055)","-0.2325*** (0.0094)","-0.0634*** (0.0042)","-0.2303*** (0.0087)","-0.0603*** (0.0043)","-0.2291*** (0.0088)","-0.0603*** (0.0043)","-0.2292*** (0.0088)"
"tb_disab","  ","-1.350 (2,099.0)","  ","  ","  ","  ","  ","  "
"male","  ","-0.4473*** (0.0063)","  ","-0.4473*** (0.0063)","  ","-0.4473*** (0.0063)","  ","-0.4473*** (0.0063)"
"int_by_5","  ","  ","-0.0627*** (0.0187)","0.0099 (0.0191)","-0.0658*** (0.0188)","0.0078 (0.0192)","  ","  "
"tb_disab_by_5","  ","  ","  ","1.816 (2,816.4)","  ","3.232 (120,912.5)","  ","  "
"int_in_5_10","  ","  ","  ","  ","-0.0486** (0.0167)","-0.0218 (0.0167)","  ","  "
"tb_disab_in_5_10","  ","  ","  ","  ","  ","-1.131 (94,319.3)","  ","  "
"int_by_10","  ","  ","  ","  ","  ","  ","-0.0560*** (0.0128)","-0.0093 (0.0131)"
"tb_disab_by_10","  ","  ","  ","  ","  ","  ","  ","1.367 (2,154.1)"
"Fixed-Effects:","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------"
"family","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"birth_year","No","Yes","No","Yes","No","Yes","No","Yes"
"birth_month","No","Yes","No","Yes","No","Yes","No","Yes"
"________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________"
"S.E.: Clustered","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family"
"Observations","852,432","852,432","852,432","852,432","852,432","852,432","852,432","852,432"
"R2","0.70112","0.70570","0.70113","0.70570","0.70114","0.70570","0.70113","0.70570"
"Within R2","0.00062","0.01435","0.00064","0.01435","0.00066","0.01436","0.00066","0.01435"
