"","model 1","model 2","model 3","model 4","model 5","model 6","model 7","model 8"
"Dependent Var.:","fertility","fertility","fertility","fertility","fertility","fertility","fertility","fertility"
" "," "," "," "," "," "," "," "," "
"int","0.0009* (0.0004)","0.0003 (0.0004)","  ","  ","  ","  ","  ","  "
"second","-0.0101*** (0.0003)","-0.0045*** (0.0005)","-0.0096*** (0.0002)","-0.0043*** (0.0004)","-0.0093*** (0.0002)","-0.0042*** (0.0004)","-0.0093*** (0.0002)","-0.0042*** (0.0004)"
"tb_disab","-0.4718 (11,450.2)","-1.107 (190.3)","  ","  ","  ","  ","  ","  "
"male","  ","-0.0055*** (0.0003)","  ","-0.0055*** (0.0003)","  ","-0.0055*** (0.0003)","  ","-0.0055*** (0.0003)"
"int_by_5","  ","  ","-0.0087*** (0.0014)","-0.0028* (0.0014)","-0.0090*** (0.0014)","-0.0029* (0.0014)","  ","  "
"tb_disab_by_5","  ","  ","-0.4173 (10,598.7)","1.153 (196.6)","-0.4170 (10,598.7)","-0.3597 (879.0)","  ","  "
"int_in_5_10","  ","  ","  ","  ","-0.0065*** (0.0010)","-0.0016. (0.0010)","  ","  "
"tb_disab_in_5_10","  ","  ","  ","  ","  ","0.9347 (524.4)","  ","  "
"int_by_10","  ","  ","  ","  ","  ","  ","-0.0072*** (0.0008)","-0.0020* (0.0008)"
"tb_disab_by_10","  ","  ","  ","  ","  ","  ","-0.2102 (5,201.2)","0.8644 (139.9)"
"Fixed-Effects:","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------","-------------------"
"family","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"year","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"birth_year","No","Yes","No","Yes","No","Yes","No","Yes"
"birth_month","No","Yes","No","Yes","No","Yes","No","Yes"
"________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________","___________________"
"S.E.: Clustered","by: family","by: family","by: family","by: family","by: family","by: family","by: family","by: family"
"Observations","5,792,702","5,792,702","5,792,702","5,792,702","5,792,702","5,792,702","5,792,702","5,792,702"
"R2","0.08515","0.08546","0.08516","0.08546","0.08516","0.08546","0.08516","0.08546"
"Within R2","0.00049","9.12e-5","0.00049","9.17e-5","0.00050","9.22e-5","0.00050","9.21e-5"
