"","model 1","model 2","model 3","model 4","model 5","model 6","model 7","model 8","model 9","model 10","model 11","model 12","model 13","model 14","model 15","model 16","model 17","model 18","model 19","model 20","model 21","model 22","model 23","model 24","model 25","model 26","model 27","model 28","model 29","model 30","model 31","model 32"
"Dependent Var.:","work","work","work","work","work","work","work","work","ft_work","ft_work","ft_work","ft_work","ft_work","ft_work","ft_work","ft_work","income","income","income","income","income","income","income","income","ft_income","ft_income","ft_income","ft_income","ft_income","ft_income","ft_income","ft_income"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"int","0.0003 (0.0016)","0.0003 (0.0016)","  ","  ","  ","  ","  ","  ","-0.0004 (0.0014)","-0.0009 (0.0014)","  ","  ","  ","  ","  ","  ","1,078.9 (984.0)","942.7 (983.7)","  ","  ","  ","  ","  ","  ","703.3 (884.9)","547.2 (883.5)","  ","  ","  ","  ","  ","  "
"second","-0.0040*** (0.0011)","-0.0166*** (0.0018)","-0.0037*** (0.0008)","-0.0164*** (0.0017)","-0.0036*** (0.0008)","-0.0164*** (0.0017)","-0.0036*** (0.0008)","-0.0164*** (0.0017)","-0.0312*** (0.0010)","-0.0151*** (0.0016)","-0.0311*** (0.0007)","-0.0155*** (0.0015)","-0.0308*** (0.0007)","-0.0154*** (0.0015)","-0.0308*** (0.0007)","-0.0154*** (0.0015)","-24,421.9*** (667.6)","-12,796.4*** (1,107.9)","-23,793.7*** (498.4)","-12,340.8*** (1,015.1)","-23,730.9*** (513.2)","-12,379.4*** (1,020.3)","-23,730.9*** (513.2)","-12,376.0*** (1,020.2)","-26,047.1*** (601.5)","-10,825.3*** (997.7)","-25,594.4*** (448.2)","-10,560.3*** (913.7)","-25,519.3*** (461.2)","-10,606.1*** (918.2)","-25,519.3*** (461.2)","-10,603.0*** (918.1)"
"tb_disab","-0.1533 (21,604.4)","-0.9519 (2,593.2)","  ","  ","  ","  ","  ","  ","-0.4289 (21,948.2)","-1.336 (2,393.9)","  ","  ","  ","  ","  ","  ","-672.9 (1.39e+10)","26,542.8 (1,579,041,900.5)","  ","  ","  ","  ","  ","  ","-477.7 (1.29e+10)","10,058.0 (1,434,815,671.4)","  ","  ","  ","  ","  ","  "
"male","  ","-0.0404*** (0.0012)","  ","-0.0404*** (0.0012)","  ","-0.0404*** (0.0012)","  ","-0.0404*** (0.0012)","  ","-0.0190*** (0.0011)","  ","-0.0190*** (0.0011)","  ","-0.0190*** (0.0011)","  ","-0.0190*** (0.0011)","  ","14,372.8*** (753.0)","  ","14,372.4*** (752.9)","  ","14,372.5*** (752.9)","  ","14,372.6*** (752.9)","  ","20,224.8*** (672.3)","  ","20,224.6*** (672.3)","  ","20,224.7*** (672.3)","  ","20,224.8*** (672.3)"
"int_by_5","  ","  ","-0.0058 (0.0042)","-0.0040 (0.0043)","-0.0058 (0.0042)","-0.0042 (0.0043)","  ","  ","  ","  ","-0.0134*** (0.0040)","-0.0016 (0.0041)","-0.0137*** (0.0040)","-0.0018 (0.0041)","  ","  ","  ","  ","-5,527.5* (2,495.8)","-953.4 (2,562.2)","-5,590.3* (2,498.8)","-867.9 (2,569.3)","  ","  ","  ","  ","-5,651.9* (2,281.5)","-590.5 (2,341.2)","-5,727.0* (2,284.1)","-489.3 (2,347.5)","  ","  "
"tb_disab_by_5","  ","  ","-0.1325 (18,375.5)","1.921 (8,378.5)","-0.1328 (18,375.5)","0.3114 (10,120.6)","  ","  ","  ","  ","-0.3824 (18,627.5)","2.176 (7,975.2)","-0.3837 (18,627.5)","-0.1925 (9,409.4)","  ","  ","  ","  ","2,757.9 (1.17e+10)","-36,795.4 (0.8)","2,529.9 (1.17e+10)","5,138.2 (0.3)","  ","  ","  ","  ","2,845.2 (1.09e+10)","-8,877.6 (0.3)","2,572.9 (1.09e+10)","6,812.6 (0.4)","  ","  "
"int_in_5_10","  ","  ","  ","  ","-0.0018 (0.0034)","-0.0022 (0.0034)","  ","  ","  ","  ","  ","  ","-0.0080* (0.0032)","-0.0021 (0.0032)","  ","  ","  ","  ","  ","  ","-1,415.7 (2,073.0)","1,049.7 (2,092.0)","  ","  ","  ","  ","  ","  ","-1,690.5 (1,898.2)","1,244.1 (1,915.4)","  ","  "
"tb_disab_in_5_10","  ","  ","  ","  ","  ","0.2109 (689.6)","  ","  ","  ","  ","  ","  ","  ","0.3117 (626.3)","  ","  ","  ","  ","  ","  ","  ","-4,416.8 (429,135,291.9)","  ","  ","  ","  ","  ","  ","  ","-727.5 (388,726,454.4)","  ","  "
"int_by_10","  ","  ","  ","  ","  ","  ","-0.0031 (0.0027)","-0.0028 (0.0028)","  ","  ","  ","  ","  ","  ","-0.0099*** (0.0025)","-0.0020 (0.0026)","  ","  ","  ","  ","  ","  ","-2,779.9. (1,652.4)","441.8 (1,696.7)","  ","  ","  ","  ","  ","  ","-3,009.6* (1,511.3)","694.6 (1,552.1)"
"tb_disab_by_10","  ","  ","  ","  ","  ","  ","-0.0791 (11,165.8)","0.1731 (475.3)","  ","  ","  ","  ","  ","  ","-0.2230 (11,323.0)","0.2479 (437.4)","  ","  ","  ","  ","  ","  ","1,368.2 (0.8)","-4,413.3 (290,854,994.9)","  ","  ","  ","  ","  ","  ","1,493.5 (0.7)","-1,174.4 (264,141,503.2)"
