"",marr_reg_list[[1]],marr_reg_list[[2]],fertility_reg_lis..,fertility_reg_lis..
Dependent Var.:,marr,marr,fertility,fertility
 , , , , 
CP,-0.0046 (0.0065),-0.0057 (0.0064),0.0003 (0.0015),0.0001 (0.0015)
male,-0.0956*** (0.0007),-0.0957*** (0.0007),-0.0119*** (0.0001),-0.0119*** (0.0001)
patient_male,-0.0015* (0.0007),-0.0015* (0.0007),-0.0008*** (0.0001),-0.0008*** (0.0001)
Fixed-Effects:,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes
__________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"10,782,472","10,782,472","11,172,614","11,172,614"
R2,0.16145,0.16226,0.00553,0.00566
Within R2,0.01245,0.01248,0.00066,0.00066
