"",marr_reg_list..,marr_reg_list..,fert_reg_list[[..,fert_reg_list[[..
Dependent Var.:,marr,marr,fertility,fertility
 , , , , 
CP,0.0112 (0.0170),0.0119 (0.0170),-6.57e-6 (0.0046),0.0002 (0.0046)
patient_male,0.0090 (0.0084),0.0085 (0.0084),0.0060** (0.0020),0.0059** (0.0020)
Fixed-Effects:,---------------,---------------,-----------------,-----------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes
__________________,_______________,_______________,_________________,_________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"82,781","82,779","80,268","80,267"
R2,0.12724,0.12867,0.00482,0.00511
Within R2,0.00010,9.89e-5,0.00013,0.00013
