"",income_reg_list[[1]],income_reg_list[[2]],log_income_reg_li..,log_income_reg_li..,work_reg_list[[..,work_reg_list[[..,edu_reg_list[[1]],edu_reg_list[[2]],edu_reg_list[[3]],edu_reg_list[[4]]
Dependent Var.:,income,income,log_income,log_income,work,work,highest_edu,highest_edu,bachelor,bachelor
 , , , , , , , , , , 
CP,"-19,228.8*** (5,083.7)","-16,990.9*** (5,055.8)",-0.0326** (0.0103),-0.0275** (0.0102),-0.0227* (0.0089),-0.0222* (0.0089),-0.0623 (0.0487),-0.0082 (0.0472),-0.0080 (0.0092),0.0015 (0.0090)
patient_male,"-1,992.1*** (538.3)","-1,709.4** (533.1)",-0.0040*** (0.0010),-0.0035*** (0.0010),-0.0016. (0.0008),-0.0014. (0.0008),-0.0305*** (0.0050),-0.0257*** (0.0048),-0.0048*** (0.0010),-0.0040*** (0.0009)
Fixed-Effects:,----------------------,----------------------,-------------------,-------------------,-----------------,-----------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,______________________,______________________,___________________,___________________,_________________,_________________,___________________,___________________,___________________,___________________
S.E. type,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.
Observations,"8,524,942","8,524,526","6,098,362","6,098,140","8,524,942","8,524,526","911,428","911,388","911,428","911,388"
R2,0.04925,0.06088,0.09746,0.10887,0.00411,0.00795,0.05993,0.12671,0.07290,0.12742
Within R2,2.54e-5,1.94e-5,2.11e-5,1.57e-5,8.73e-6,7.91e-6,4.29e-5,3.15e-5,2.84e-5,2.03e-5
