"",income_reg_list[[1]],income_reg_list[[2]],log_income_reg_li..,log_income_reg_l..,work_reg_list[[..,work_reg_list[..
Dependent Var.:,income,income,log_income,log_income,work,work
 , , , , , , 
CP,"16,746.9 (10,707.6)","14,469.2 (10,666.1)",0.0257 (0.0211),0.0257 (0.0207),0.0206 (0.0179),0.0184 (0.0179)
patient_male,"-17,286.0*** (5,184.8)","-14,199.6** (5,113.3)",-0.0344*** (0.0104),-0.0283** (0.0102),-0.0141. (0.0085),-0.0120 (0.0085)
Fixed-Effects:,----------------------,---------------------,-------------------,------------------,-----------------,----------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes
__________________,______________________,_____________________,___________________,__________________,_________________,________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"93,330","93,328","62,547","62,545","93,330","93,328"
R2,0.05181,0.07141,0.10078,0.11734,0.01790,0.02372
Within R2,0.00107,0.00074,0.00094,0.00067,0.00028,0.00021
