"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.3607* (0.1639),0.3243* (0.1635),525.1 (447.6),498.6 (447.9),0.0152*** (0.0041),0.0145*** (0.0041),0.0095** (0.0036),0.0094** (0.0036)
male,-3.644*** (0.0161),-3.638*** (0.0161),-807.5*** (115.0),-802.9*** (115.1),-0.0130*** (0.0004),-0.0129*** (0.0004),-0.0012*** (0.0003),-0.0012*** (0.0003)
patient_male,-0.0226 (0.0161),-0.0259 (0.0160),-131.6 (117.5),-134.1 (117.6),-0.0011** (0.0004),-0.0012** (0.0004),-0.0003 (0.0003),-0.0003 (0.0003)
Fixed-Effects:,------------------,------------------,-----------------,-----------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,_________________,_________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"8,524,942","8,524,526","8,524,942","8,524,526","8,524,942","8,524,526","8,524,942","8,524,526"
R2,0.04847,0.05047,0.00107,0.00110,0.00421,0.00493,0.00682,0.00686
Within R2,0.03709,0.03703,5.24e-5,5.18e-5,0.00033,0.00033,1.08e-5,1.07e-5
