"",income_reg_list[[1]],income_reg_list[[2]],log_income_reg_li..,log_income_reg_l..,work_reg_list[[1]],work_reg_list[[2]],edu_reg_list[[1]],edu_reg_list[[2]],edu_reg_list[[3]],edu_reg_list[[4]]
Dependent Var.:,income,income,log_income,log_income,work,work,highest_edu,highest_edu,bachelor,bachelor
 , , , , , , , , , , 
CP,"-19,228.0*** (5,092.2)","-16,991.8*** (5,065.5)",-0.0321** (0.0103),-0.0270** (0.0102),-0.0227* (0.0089),-0.0222* (0.0089),-0.0651 (0.0486),-0.0110 (0.0471),-0.0087 (0.0092),0.0008 (0.0089)
male,"19,828.8*** (535.8)","19,618.7*** (530.7)",0.0608*** (0.0010),0.0596*** (0.0010),-0.0253*** (0.0008),-0.0250*** (0.0008),-0.3427*** (0.0050),-0.3503*** (0.0048),-0.0782*** (0.0010),-0.0795*** (0.0009)
patient_male,"-1,826.2*** (537.5)","-1,544.9** (532.3)",-0.0037*** (0.0010),-0.0031** (0.0010),-0.0018* (0.0008),-0.0016* (0.0008),-0.0332*** (0.0050),-0.0285*** (0.0048),-0.0054*** (0.0010),-0.0046*** (0.0009)
Fixed-Effects:,----------------------,----------------------,-------------------,------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,______________________,______________________,___________________,__________________,___________________,___________________,___________________,___________________,___________________,___________________
S.E. type,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.
Observations,"8,524,942","8,524,526","6,098,362","6,098,140","8,524,942","8,524,526","911,428","911,388","911,428","911,388"
R2,0.05056,0.06216,0.10024,0.11154,0.00490,0.00872,0.06480,0.13180,0.07963,0.13439
Within R2,0.00141,0.00139,0.00311,0.00301,0.00080,0.00078,0.00522,0.00586,0.00730,0.00801
