"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,1.044*** (0.2375),1.031*** (0.2369),"1,581.0*** (322.4)","1,580.8*** (322.4)",0.0431*** (0.0058),0.0427*** (0.0057),0.0247*** (0.0053),0.0247*** (0.0053)
male,0.8913*** (0.0224),0.8951*** (0.0224),"1,764.5*** (207.7)","1,767.3*** (208.8)",0.0392*** (0.0005),0.0393*** (0.0005),0.0109*** (0.0004),0.0109*** (0.0004)
patient_male,0.0394. (0.0224),0.0401. (0.0224),23.42 (201.6),23.32 (201.5),0.0005 (0.0005),0.0005 (0.0005),-0.0001 (0.0004),-0.0001 (0.0004)
Fixed-Effects:,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"4,054,588","4,054,565","4,054,588","4,054,565","4,054,588","4,054,565","4,054,588","4,054,565"
R2,0.20919,0.21027,0.00147,0.00149,0.02960,0.03032,0.00188,0.00190
Within R2,0.00196,0.00198,0.00015,0.00015,0.00270,0.00270,0.00084,0.00084
