"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.6563* (0.2745),0.6432* (0.2746),478.1 (365.3),461.9 (372.5),0.0336*** (0.0076),0.0329*** (0.0076),0.0200** (0.0064),0.0200** (0.0064)
male,0.8220*** (0.0289),0.8236*** (0.0288),"1,794.1*** (366.3)","1,796.3*** (367.7)",0.0381*** (0.0007),0.0380*** (0.0007),0.0115*** (0.0005),0.0115*** (0.0005)
patient_male,0.0608* (0.0288),0.0604* (0.0288),153.6 (348.6),152.0 (347.8),0.0006 (0.0007),0.0005 (0.0007),-9.27e-7 (0.0005),2.54e-6 (0.0005)
Fixed-Effects:,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"2,129,087","2,129,080","2,129,087","2,129,080","2,129,087","2,129,080","2,129,087","2,129,080"
R2,0.17662,0.17733,0.00104,0.00106,0.02053,0.02131,0.00207,0.00210
Within R2,0.00190,0.00191,9.79e-5,9.81e-5,0.00263,0.00262,0.00091,0.00091
