"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,-0.1439 (0.5725),-0.1254 (0.5700),-243.0 (890.0),"-854.0 (1,401.5)",0.0039 (0.0158),-0.0011 (0.0156),0.0105 (0.0140),0.0117 (0.0141)
male,0.8219** (0.2955),0.8080** (0.2945),"3,750.2. (2,100.6)","3,861.3. (2,181.9)",0.0451*** (0.0076),0.0452*** (0.0075),0.0054 (0.0055),0.0048 (0.0055)
patient_male,0.0925 (0.2962),0.0532 (0.2943),"2,295.7 (1,736.6)","2,144.5 (1,691.1)",-0.0049 (0.0077),-0.0063 (0.0077),0.0052 (0.0052),0.0045 (0.0051)
Fixed-Effects:,-----------------,-----------------,------------------,------------------,------------------,------------------,---------------,---------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,_________________,_________________,__________________,__________________,__________________,__________________,_______________,_______________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"26,743","26,743","26,743","26,743","26,743","26,743","26,743","26,743"
R2,0.21958,0.22372,0.05056,0.06551,0.05527,0.05817,0.01690,0.02157
Within R2,0.00154,0.00148,0.00076,0.00079,0.00296,0.00301,0.00041,0.00037
