"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,7.692*** (1.432),8.009*** (1.513),"8,698.0*** (2,165.5)","8,258.7*** (2,153.7)",0.0617 (0.0572),0.0468 (0.0603),0.0501 (0.0395),0.0538 (0.0405)
male,-0.0506 (0.6276),-0.1997 (0.6166),653.8 (640.9),525.6 (619.1),0.0235 (0.0160),0.0211 (0.0157),0.0142 (0.0139),0.0108 (0.0135)
patient_male,-0.7859 (0.6538),-0.8713 (0.6558),-420.7 (638.8),-451.9 (619.9),0.0075 (0.0159),0.0122 (0.0159),-0.0213 (0.0147),-0.0235 (0.0147)
Fixed-Effects:,----------------,----------------,--------------------,--------------------,---------------,---------------,----------------,----------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,________________,________________,____________________,____________________,_______________,_______________,________________,________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"7,531","7,531","7,531","7,531","7,531","7,531","7,531","7,531"
R2,0.26212,0.26707,0.11892,0.12640,0.08354,0.09176,0.06989,0.08382
Within R2,0.00363,0.00405,0.00323,0.00279,0.00085,0.00076,0.00289,0.00288
