"",marr_reg_list[[1]],marr_reg_list[[2]],marr_reg_list[[3]],marr_reg_list[[4]],marr_reg_list[[5]],marr_reg_list[[6]],marr_reg_list[[7]],marr_reg_list[[8]],marr_reg_list[[9]],marr_reg_list[[10]],marr_reg_list[[11]],marr_reg_list[[12]],marr_reg_list[[13]],marr_reg_list[[14]],marr_reg_list[[15]],marr_reg_list[[1..,marr_reg_list[[1..,marr_reg_list[[1..,marr_reg_list[[1..,marr_reg_list[[2..,fert_reg_list[[1]],fert_reg_list[[2]],fert_reg_list[[3]],fert_reg_list[[4]],fert_reg_list[[5]],fert_reg_list[[..,fert_reg_list[[7]],fert_reg_list[[8]],fert_reg_list[[9]],fert_reg_list[[10]],fert_reg_list[[11]],fert_reg_list[[12]],fert_reg_list[[13]],fert_reg_list[[14]],fert_reg_list[[15]],fert_reg_list[[1..,fert_reg_list[[1..,fert_reg_list[[1..,fert_reg_list[[1..,fert_reg_list[[2..
Dependent Var.:,marr_both,marr_both,marr_both,marr_both,marr_both,marr_old,marr_old,marr_old,marr_old,marr_old,marr_young,marr_young,marr_young,marr_young,marr_young,marr_none,marr_none,marr_none,marr_none,marr_none,fert_both,fert_both,fert_both,fert_both,fert_both,fert_old,fert_old,fert_old,fert_old,fert_old,fert_young,fert_young,fert_young,fert_young,fert_young,fert_none,fert_none,fert_none,fert_none,fert_none
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CP,-0.0955*** (0.0030),-0.0931*** (0.0030),-0.0936*** (0.0030),-0.0992*** (0.0045),-0.1000*** (0.0045),0.0661*** (0.0077),0.0641*** (0.0077),0.0639*** (0.0077),0.0788*** (0.0114),0.0785*** (0.0114),-0.0902*** (0.0027),-0.0873*** (0.0027),-0.0884*** (0.0027),-0.0706*** (0.0043),-0.0720*** (0.0043),0.0772*** (0.0083),0.0745*** (0.0082),0.0764*** (0.0082),0.0442*** (0.0119),0.0467*** (0.0118),-0.0033*** (0.0002),-0.0032*** (0.0002),-0.0032*** (0.0002),-0.0030*** (0.0004),-0.0030*** (0.0004),-0.0030. (0.0018),-0.0030. (0.0017),-0.0031. (0.0017),-5.96e-6 (0.0026),-9.47e-5 (0.0026),-0.0339*** (0.0009),-0.0333*** (0.0009),-0.0336*** (0.0009),-0.0317*** (0.0014),-0.0321*** (0.0014),0.0277*** (0.0023),0.0270*** (0.0023),0.0274*** (0.0023),0.0197*** (0.0035),0.0202*** (0.0035)
male,  ,-0.0256*** (0.0005),-0.0257*** (0.0005),-0.0257*** (0.0005),-0.0257*** (0.0005),  ,-0.0677*** (0.0006),-0.0677*** (0.0006),-0.0677*** (0.0006),-0.0677*** (0.0006),  ,0.0242*** (0.0005),0.0242*** (0.0005),0.0243*** (0.0005),0.0243*** (0.0005),  ,0.0702*** (0.0007),0.0702*** (0.0007),0.0701*** (0.0007),0.0701*** (0.0007),  ,-0.0002*** (4.56e-5),-0.0002*** (4.56e-5),-0.0002*** (4.57e-5),-0.0002*** (4.57e-5),  ,-0.0086*** (0.0002),-0.0086*** (0.0002),-0.0086*** (0.0002),-0.0085*** (0.0002),  ,-0.0008*** (0.0001),-0.0008*** (0.0001),-0.0008*** (0.0001),-0.0008*** (0.0001),  ,0.0099*** (0.0002),0.0099*** (0.0002),0.0099*** (0.0002),0.0099*** (0.0002)
patient_male,  ,-0.0343*** (0.0005),-0.0343*** (0.0005),-0.0343*** (0.0005),-0.0343*** (0.0005),  ,0.0318*** (0.0006),0.0318*** (0.0006),0.0318*** (0.0006),0.0318*** (0.0006),  ,-0.0427*** (0.0005),-0.0428*** (0.0005),-0.0427*** (0.0005),-0.0428*** (0.0005),  ,0.0437*** (0.0007),0.0439*** (0.0007),0.0437*** (0.0007),0.0439*** (0.0007),  ,-0.0011*** (4.59e-5),-0.0011*** (4.59e-5),-0.0011*** (4.59e-5),-0.0011*** (4.59e-5),  ,-2.4e-7 (0.0002),-6.3e-6 (0.0002),-2.48e-7 (0.0002),-6.31e-6 (0.0002),  ,-0.0098*** (0.0001),-0.0098*** (0.0001),-0.0098*** (0.0001),-0.0098*** (0.0001),  ,0.0106*** (0.0002),0.0106*** (0.0002),0.0106*** (0.0002),0.0106*** (0.0002)
CP x male,  ,  ,  ,0.0120* (0.0060),0.0124* (0.0061),  ,  ,  ,-0.0285. (0.0153),-0.0284. (0.0153),  ,  ,  ,-0.0329*** (0.0054),-0.0323*** (0.0055),  ,  ,  ,0.0598*** (0.0164),0.0585*** (0.0164),  ,  ,  ,-0.0004 (0.0005),-0.0004 (0.0005),  ,  ,  ,-0.0058. (0.0035),-0.0058. (0.0035),  ,  ,  ,-0.0030. (0.0017),-0.0029. (0.0018),  ,  ,  ,0.0142** (0.0046),0.0141** (0.0046)
Fixed-Effects:,-------------------,-------------------,-------------------,-------------------,-------------------,------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,------------------,------------------,------------------,------------------,------------------,-------------------,--------------------,--------------------,--------------------,--------------------,-----------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
