"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12,model 13,model 14,model 15,model 16,model 17,model 18,model 19,model 20,model 21,model 22,model 23,model 24,model 25,model 26,model 27,model 28,model 29,model 30
Dependent Var.:,outpatient_count_joint,outpatient_count_joint,outpatient_count_joint,total_dot_joint,total_dot_joint,total_dot_joint,eme_dummy_both,eme_dummy_both,eme_dummy_both,eme_dummy_old,eme_dummy_old,eme_dummy_old,eme_dummy_young,eme_dummy_young,eme_dummy_young,eme_dummy_none,eme_dummy_none,eme_dummy_none,major_both,major_both,major_both,major_old,major_old,major_old,major_young,major_young,major_young,major_none,major_none,major_none
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CP,6.911*** (0.3587),7.149*** (0.3556),7.070*** (0.3548),"16,357.2*** (2,003.6)","16,397.1*** (2,003.5)","16,368.8*** (2,003.6)",0.0024 (0.0015),0.0026. (0.0015),0.0023 (0.0015),-0.0003 (0.0029),-0.0004 (0.0029),-0.0010 (0.0029),0.0144*** (0.0036),0.0151*** (0.0036),0.0144*** (0.0036),-0.0503*** (0.0051),-0.0510*** (0.0051),-0.0494*** (0.0051),0.0207*** (0.0019),0.0207*** (0.0019),0.0207*** (0.0019),-0.0212*** (0.0022),-0.0212*** (0.0022),-0.0213*** (0.0022),0.3143*** (0.0080),0.3145*** (0.0080),0.3145*** (0.0080),-0.3299*** (0.0083),-0.3301*** (0.0083),-0.3300*** (0.0083)
male,  ,-3.788*** (0.0210),-3.786*** (0.0209),  ,-93.42 (104.2),-93.56 (104.2),  ,-0.0030*** (0.0001),-0.0030*** (0.0001),  ,-0.0113*** (0.0003),-0.0113*** (0.0003),  ,0.0019*** (0.0003),0.0019*** (0.0003),  ,0.0125*** (0.0004),0.0126*** (0.0004),  ,0.0001 (7e-5),0.0001 (7e-5),  ,-0.0004. (0.0003),-0.0004. (0.0003),  ,-0.0005* (0.0002),-0.0005* (0.0002),  ,0.0008* (0.0004),0.0008* (0.0004)
patient_male,  ,-3.544*** (0.0210),-3.552*** (0.0210),  ,-605.3*** (99.25),-608.7*** (99.03),  ,-0.0029*** (0.0001),-0.0030*** (0.0001),  ,0.0014*** (0.0003),0.0013*** (0.0003),  ,-0.0097*** (0.0003),-0.0098*** (0.0003),  ,0.0099*** (0.0004),0.0101*** (0.0004),  ,-0.0001. (7.01e-5),-0.0001. (7.01e-5),  ,-0.0005. (0.0003),-0.0005. (0.0003),  ,-0.0032*** (0.0002),-0.0032*** (0.0002),  ,0.0032*** (0.0004),0.0032*** (0.0004)
Fixed-Effects:,----------------------,----------------------,----------------------,---------------------,---------------------,---------------------,---------------,-------------------,-------------------,----------------,-------------------,-------------------,------------------,-------------------,-------------------,-------------------,-------------------,-------------------,------------------,------------------,------------------,-------------------,-------------------,-------------------,------------------,-------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
