"",labor_reg_list[[1]],labor_reg_list[[2]],labor_reg_list[[3]],labor_reg_list[[4]],labor_reg_list[[5]],labor_reg_list[[6]],labor_reg_list[[7]],labor_reg_list[[8]],labor_reg_list[[9]],labor_reg_list[[..,labor_reg_list[[1..,labor_reg_list[[1..,labor_reg_list[[1..,labor_reg_list[[1..,labor_reg_list[[1..,labor_reg_list[[..,labor_reg_list[[..,labor_reg_list[[..,edu_reg_list[[1]],edu_reg_list[[2]],edu_reg_list[[3]],edu_reg_list[[4]],edu_reg_list[[5]],edu_reg_list[[6]],edu_reg_list[[7]],edu_reg_list[[8]],edu_reg_list[[9]],edu_reg_list[[10]],edu_reg_list[[11]],edu_reg_list[[12]]
Dependent Var.:,income_joint,income_joint,income_joint,log_income_joint,log_income_joint,log_income_joint,work_both,work_both,work_both,work_old,work_old,work_old,work_young,work_young,work_young,work_none,work_none,work_none,bachelor_both,bachelor_both,bachelor_both,bachelor_old,bachelor_old,bachelor_old,bachelor_young,bachelor_young,bachelor_young,bachelor_none,bachelor_none,bachelor_none
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
CP,"-222,250.5*** (6,852.3)","-223,071.5*** (6,859.1)","-217,359.7*** (6,819.9)",-0.2962*** (0.0112),-0.2973*** (0.0112),-0.2918*** (0.0112),-0.3429*** (0.0074),-0.3415*** (0.0075),-0.3399*** (0.0075),0.2927*** (0.0090),0.2914*** (0.0090),0.2913*** (0.0090),-0.1044*** (0.0039),-0.1036*** (0.0039),-0.1042*** (0.0039),0.1069*** (0.0071),0.1060*** (0.0071),0.1054*** (0.0071),-0.3414*** (0.0069),-0.3376*** (0.0069),-0.3235*** (0.0069),0.3098*** (0.0086),0.3059*** (0.0086),0.3040*** (0.0087),-0.0896*** (0.0039),-0.0868*** (0.0039),-0.0891*** (0.0039),0.1058*** (0.0075),0.1033*** (0.0075),0.0942*** (0.0072)
male,  ,"35,109.8*** (724.8)","35,282.3*** (713.0)",  ,0.0501*** (0.0009),0.0498*** (0.0009),  ,0.0046*** (0.0008),0.0049*** (0.0008),  ,-0.0047*** (0.0006),-0.0048*** (0.0006),  ,-0.0061*** (0.0006),-0.0062*** (0.0006),  ,0.0062*** (0.0005),0.0060*** (0.0005),  ,-0.0449*** (0.0008),-0.0448*** (0.0008),  ,-0.0268*** (0.0006),-0.0267*** (0.0006),  ,0.0383*** (0.0006),0.0384*** (0.0006),  ,0.0334*** (0.0006),0.0331*** (0.0006)
patient_male,  ,"11,892.3*** (724.6)","12,385.7*** (712.9)",  ,0.0186*** (0.0009),0.0188*** (0.0009),  ,-0.0220*** (0.0008),-0.0219*** (0.0008),  ,0.0193*** (0.0006),0.0193*** (0.0006),  ,-0.0126*** (0.0006),-0.0126*** (0.0006),  ,0.0132*** (0.0005),0.0132*** (0.0005),  ,-0.0570*** (0.0008),-0.0561*** (0.0008),  ,0.0521*** (0.0006),0.0520*** (0.0006),  ,-0.0352*** (0.0006),-0.0353*** (0.0006),  ,0.0399*** (0.0006),0.0392*** (0.0006)
Fixed-Effects:,-----------------------,-----------------------,-----------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,------------------,-------------------,-------------------,-------------------,-------------------,-------------------,------------------,------------------,------------------,-------------------,-------------------,-------------------,------------------,-------------------,-------------------,-------------------,-------------------,-------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
