outcome,mean,sd,count
income,364490.37793637,325812.230161934,309949
log_income,12.9893883311734,0.549425617742539,225249
work,0.726729236100133,0.445639421764123,309949
highest_edu,15.0710359936199,2.39898590235448,312222
bachelor,0.701846762880258,0.457447870842533,312222
marr,0.36132526986993,0.480385271518533,336233
major,0.0756963242339869,0.264512034636139,309949
total_dot,8328.51778518402,75549.173901093,309949
outpatient,7.71882793620886,9.71739168778293,309949
eme_dummy,0.133483250470239,0.606899814563947,309949
