"",marr_reg_list[[1]],marr_reg_list[[2]],fert_reg_list[[1]],fert_reg_list[[2]]
Dependent Var.:,marr,marr,fertility,fertility
 , , , , 
CP,0.0047 (0.0133),0.0029 (0.0133),0.0004 (0.0032),1.71e-5 (0.0032)
male,-0.0794*** (0.0013),-0.0795*** (0.0013),-0.0101*** (0.0003),-0.0101*** (0.0003)
patient_male,-0.0006 (0.0013),-0.0006 (0.0013),-0.0006* (0.0003),-0.0006* (0.0003)
Fixed-Effects:,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes
__________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"2,431,045","2,430,952","2,483,968","2,483,868"
R2,0.18185,0.18281,0.00878,0.00904
Within R2,0.00930,0.00935,0.00052,0.00052
