"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.3512 (0.2153),0.3101 (0.2149),811.0 (625.1),778.9 (625.1),0.0165** (0.0056),0.0157** (0.0056),0.0109* (0.0051),0.0108* (0.0051)
male,-3.590*** (0.0211),-3.584*** (0.0210),-749.3*** (121.6),-745.9*** (121.5),-0.0138*** (0.0005),-0.0137*** (0.0005),-0.0015*** (0.0004),-0.0015*** (0.0004)
patient_male,-0.0424* (0.0210),-0.0448* (0.0209),-59.92 (123.8),-62.11 (123.7),-0.0015** (0.0005),-0.0016** (0.0005),-0.0003 (0.0004),-0.0003 (0.0004)
Fixed-Effects:,------------------,------------------,-----------------,-----------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,_________________,_________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"4,895,035","4,894,819","4,895,035","4,894,819","4,895,035","4,894,819","4,895,035","4,894,819"
R2,0.04834,0.05052,0.00150,0.00156,0.00424,0.00505,0.00675,0.00679
Within R2,0.03645,0.03640,6.65e-5,6.58e-5,0.00038,0.00037,1.61e-5,1.6e-5
