"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.8689*** (0.2092),0.8017*** (0.2089),"1,484.3. (780.4)","1,437.6. (780.7)",0.0215*** (0.0048),0.0199*** (0.0048),0.0066 (0.0041),0.0064 (0.0041)
male,-3.602*** (0.0122),-3.602*** (0.0122),-693.4*** (89.61),-694.3*** (89.67),-0.0149*** (0.0003),-0.0149*** (0.0003),-0.0012*** (0.0002),-0.0012*** (0.0002)
patient_male,-0.0270* (0.0122),-0.0311* (0.0122),-73.68 (90.24),-76.56 (90.23),-0.0006* (0.0003),-0.0008** (0.0003),-0.0002 (0.0002),-0.0002 (0.0002)
Fixed-Effects:,------------------,------------------,-----------------,-----------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,_________________,_________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"14,898,875","14,898,176","14,898,875","14,898,176","14,898,875","14,898,176","14,898,875","14,898,176"
R2,0.04717,0.04960,0.00088,0.00091,0.00465,0.00559,0.00658,0.00661
Within R2,0.03606,0.03620,3.45e-5,3.46e-5,0.00043,0.00043,7.94e-6,8e-6
