"",income_reg_list[[1]],income_reg_list[[..,log_income_reg_l..,log_income_reg_l..,work_reg_list[[1]],work_reg_list[[2]],edu_reg_list[[1]],edu_reg_list[[2]],edu_reg_list[[3]],edu_reg_list[[4]]
Dependent Var.:,income,income,log_income,log_income,work,work,highest_edu,highest_edu,bachelor,bachelor
 , , , , , , , , , , 
CP,"-18,213.1. (9,873.3)","-13,420.7 (9,843.2)",-0.0320. (0.0188),-0.0211 (0.0186),-0.0267. (0.0148),-0.0255. (0.0147),-0.2440** (0.0777),-0.1512* (0.0736),-0.0511** (0.0156),-0.0355* (0.0149)
male,"17,396.1*** (930.3)","17,742.4*** (922.0)",0.0449*** (0.0018),0.0450*** (0.0017),-0.0243*** (0.0014),-0.0239*** (0.0014),-0.2889*** (0.0083),-0.2811*** (0.0080),-0.0744*** (0.0016),-0.0730*** (0.0015)
patient_male,"-1,479.2 (933.5)","-1,429.8 (925.2)",-0.0025 (0.0018),-0.0025 (0.0017),-0.0018 (0.0014),-0.0018 (0.0014),-0.0081 (0.0083),-0.0077 (0.0080),-0.0029. (0.0016),-0.0028. (0.0015)
Fixed-Effects:,--------------------,-------------------,------------------,------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,____________________,___________________,__________________,__________________,___________________,___________________,___________________,___________________,___________________,___________________
S.E. type,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.
Observations,"2,794,295","2,794,184","2,007,963","2,007,921","2,794,295","2,794,184","312,608","312,597","312,608","312,597"
R2,0.05853,0.06881,0.10777,0.11978,0.00465,0.00896,0.06302,0.13173,0.07496,0.13285
Within R2,0.00103,0.00108,0.00163,0.00165,0.00074,0.00072,0.00388,0.00394,0.00713,0.00730
