"",income_reg_list[[1]],income_reg_list[[2]],log_income_reg_li..,log_income_reg_li..,work_reg_list[[1]],work_reg_list[[2]],edu_reg_list[[1]],edu_reg_list[[2]],edu_reg_list[[3]],edu_reg_list[[4]]
Dependent Var.:,income,income,log_income,log_income,work,work,highest_edu,highest_edu,bachelor,bachelor
 , , , , , , , , , , 
CP,"-17,353.7*** (4,793.7)","-15,336.7** (4,770.9)",-0.0290** (0.0098),-0.0246* (0.0097),-0.0209** (0.0080),-0.0197* (0.0079),-0.1129** (0.0438),-0.0684 (0.0423),-0.0181* (0.0083),-0.0103 (0.0081)
male,"18,112.6*** (404.7)","18,249.4*** (400.9)",0.0509*** (0.0008),0.0506*** (0.0008),-0.0233*** (0.0006),-0.0231*** (0.0006),-0.3357*** (0.0037),-0.3344*** (0.0036),-0.0775*** (0.0007),-0.0773*** (0.0007)
patient_male,"-1,815.7*** (405.9)","-1,579.3*** (402.0)",-0.0034*** (0.0008),-0.0030*** (0.0008),-0.0018** (0.0006),-0.0018** (0.0006),-0.0264*** (0.0038),-0.0223*** (0.0036),-0.0049*** (0.0007),-0.0042*** (0.0007)
Fixed-Effects:,----------------------,---------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,______________________,_____________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________,___________________
S.E. type,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.
Observations,"14,907,445","14,906,738","10,601,864","10,601,498","14,907,445","14,906,738","1,626,018","1,625,949","1,626,018","1,625,949"
R2,0.05321,0.06442,0.10276,0.11465,0.00520,0.00941,0.06896,0.13962,0.08091,0.13985
Within R2,0.00114,0.00117,0.00211,0.00211,0.00067,0.00066,0.00493,0.00528,0.00729,0.00773
