"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12,model 13,model 14,model 15
Dependent Var.:,eme,eme,eme,eme_dummy,eme_dummy,eme_dummy,eme_non_major,eme_non_major,eme_non_major,eme_nm_dummy,eme_nm_dummy,eme_nm_dummy,avoid,avoid,avoid
 , , , , , , , , , , , , , , , 
CP,0.0559*** (0.0159),0.0559*** (0.0159),0.0542*** (0.0159),0.0186*** (0.0030),0.0186*** (0.0029),0.0176*** (0.0029),0.0458*** (0.0130),0.0457*** (0.0130),0.0440*** (0.0130),0.0177*** (0.0029),0.0177*** (0.0029),0.0167*** (0.0029),0.0145** (0.0048),0.0142** (0.0046),0.0121** (0.0046)
male,  ,-0.0279*** (0.0008),-0.0281*** (0.0008),  ,-0.0149*** (0.0003),-0.0149*** (0.0003),  ,-0.0288*** (0.0007),-0.0289*** (0.0007),  ,-0.0151*** (0.0003),-0.0151*** (0.0003),  ,-0.1168*** (0.0005),-0.1167*** (0.0005)
patient_male,  ,-0.0013. (0.0008),-0.0017* (0.0008),  ,-0.0006* (0.0003),-0.0007** (0.0003),  ,-0.0012. (0.0007),-0.0015* (0.0007),  ,-0.0006* (0.0003),-0.0007* (0.0003),  ,-0.0021*** (0.0005),-0.0023*** (0.0005)
Fixed-Effects:,------------------,-------------------,-------------------,------------------,-------------------,-------------------,------------------,-------------------,-------------------,------------------,-------------------,-------------------,-----------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
mother_edu,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
__________________,__________________,___________________,___________________,__________________,___________________,___________________,__________________,___________________,___________________,__________________,___________________,___________________,_________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"14,921,318","14,921,318","14,920,611","14,921,318","14,921,318","14,920,611","14,921,318","14,921,318","14,920,611","14,921,318","14,921,318","14,920,611","14,921,318","14,921,318","14,920,611"
R2,0.00238,0.00269,0.00347,0.00423,0.00466,0.00559,0.00281,0.00321,0.00399,0.00433,0.00478,0.00569,0.01659,0.03040,0.03328
Within R2,1.23e-5,0.00033,0.00034,6.47e-6,0.00043,0.00043,9.74e-6,0.00041,0.00041,5.94e-6,0.00045,0.00045,2.09e-6,0.01404,0.01407
