"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12,model 13,model 14,model 15,model 16,model 17,model 18,model 19,model 20,model 21,model 22,model 23,model 24,model 25,model 26,model 27,model 28,model 29,model 30,model 31,model 32,model 33,model 34,model 35,model 36,model 37,model 38,model 39,model 40,model 41,model 42,model 43,model 44,model 45,model 46,model 47,model 48,model 49,model 50,model 51,model 52,model 53,model 54,model 55,model 56,model 57,model 58,model 59,model 60,model 61,model 62,model 63,model 64,model 65,model 66
Dependent Var.:,WEIGHT,WEIGHT,WEIGHT,WEEK,WEEK,WEEK,dummy_LW,dummy_LW,dummy_LW,dummy_ELW,dummy_ELW,dummy_ELW,dummy_EB,dummy_EB,dummy_EB,dummy_MH_4,dummy_MH_4,dummy_MH_4,dummy_MH_6,dummy_MH_6,dummy_MH_6,dummy_MH_9,dummy_MH_9,dummy_MH_9,dummy_MH_10,dummy_MH_10,dummy_MH_10,dummy_MH_16,dummy_MH_16,dummy_MH_16,dummy_MH_19,dummy_MH_19,dummy_MH_19,dummy_MH_20,dummy_MH_20,dummy_MH_20,dummy_MH_21,dummy_MH_21,dummy_MH_21,dummy_COM_4,dummy_COM_4,dummy_COM_4,dummy_COM_5,dummy_COM_5,dummy_COM_5,dummy_COM_6,dummy_COM_6,dummy_COM_6,dummy_COM_9,dummy_COM_9,dummy_COM_9,dummy_COM_10,dummy_COM_10,dummy_COM_10,dummy_COM_11,dummy_COM_11,dummy_COM_11,dummy_COM_12,dummy_COM_12,dummy_COM_12,dummy_COM_13,dummy_COM_13,dummy_COM_13,dummy_COM_15,dummy_COM_15,dummy_COM_15
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Constant,"3,107.5*** (0.4129)",  ,  ,38.19*** (0.0014),  ,  ,0.0533*** (0.0002),  ,  ,0.0043*** (6.5e-5),  ,  ,0.0702*** (0.0003),  ,  ,0.0018*** (4.15e-5),  ,  ,0.0162*** (0.0001),  ,  ,0.0015*** (3.79e-5),  ,  ,0.0057*** (7.5e-5),  ,  ,8.08e-5*** (8.93e-6),  ,  ,0.0005*** (2.32e-5),  ,  ,5.23e-5*** (7.18e-6),  ,  ,9.27e-5*** (9.56e-6),  ,  ,0.0036*** (5.97e-5),  ,  ,0.0079*** (8.81e-5),  ,  ,0.0042*** (6.44e-5),  ,  ,0.0061*** (7.76e-5),  ,  ,0.0076*** (8.61e-5),  ,  ,0.0398*** (0.0002),  ,  ,0.0064*** (7.94e-5),  ,  ,0.0009*** (2.96e-5),  ,  ,0.0046*** (6.72e-5),  ,  
CP,-491.0*** (16.01),-502.8*** (16.01),-500.8*** (15.99),-2.289*** (0.0790),-2.316*** (0.0792),-2.308*** (0.0791),0.2853*** (0.0088),0.2878*** (0.0089),0.2868*** (0.0088),0.1472*** (0.0067),0.1472*** (0.0067),0.1471*** (0.0067),0.2642*** (0.0088),0.2641*** (0.0088),0.2630*** (0.0088),0.0056*** (0.0016),0.0058*** (0.0016),0.0057*** (0.0016),0.0020 (0.0025),0.0062* (0.0025),0.0061* (0.0025),0.0038** (0.0013),0.0040** (0.0014),0.0039** (0.0014),0.0058** (0.0020),0.0062** (0.0020),0.0060** (0.0020),0.0003 (0.0003),0.0003 (0.0004),0.0003 (0.0004),0.0019* (0.0009),0.0019* (0.0009),0.0018. (0.0009),-5.23e-5*** (7.18e-6),-6.58e-5** (2.19e-5),-7.66e-5*** (2.25e-5),-9.27e-5*** (9.56e-6),-0.0001*** (1.21e-5),-0.0001*** (1.51e-5),0.0177*** (0.0027),0.0181*** (0.0027),0.0181*** (0.0027),0.0074** (0.0023),0.0073** (0.0023),0.0073** (0.0023),0.0087*** (0.0021),0.0093*** (0.0021),0.0092*** (0.0021),-0.0013 (0.0013),-0.0010 (0.0013),-0.0012 (0.0013),0.0018 (0.0018),0.0015 (0.0018),0.0014 (0.0018),0.0405*** (0.0051),0.0392*** (0.0051),0.0390*** (0.0051),-0.0002 (0.0015),-0.0005 (0.0015),-0.0006 (0.0015),0.0029* (0.0012),0.0029* (0.0012),0.0029* (0.0012),0.0383*** (0.0038),0.0383*** (0.0038),0.0382*** (0.0038)
Fixed-Effects:,-------------------,-----------------,-----------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,-------------------,------------------,------------------,------------------,----------------,----------------,-------------------,-----------------,-----------------,------------------,-----------------,-----------------,--------------------,---------------,---------------,-------------------,----------------,----------------,---------------------,--------------------,---------------------,---------------------,--------------------,--------------------,-------------------,------------------,------------------,-------------------,-----------------,-----------------,-------------------,------------------,------------------,-------------------,----------------,----------------,-------------------,---------------,---------------,------------------,------------------,------------------,-------------------,----------------,----------------,-------------------,----------------,----------------,-------------------,------------------,------------------
patient_birth_year,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
f_birth_year,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
m_birth_year,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes
father_edu,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
mother_edu,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes
