outcome,mean,sd,count
income,355207.494381636,317052.866696986,902131
log_income,12.9773969970146,0.535329789670473,650514
work,0.721085962016603,0.448465405956069,902131
highest_edu,14.8383643547598,2.45390185202773,909855
bachelor,0.653933868583456,0.475714844028386,909855
marr,0.383793519506181,0.486308849554878,975754
major,0.0772005396112095,0.266909526364822,902131
total_dot,8463.38623326324,68052.9578509311,902131
outpatient,7.80086705811019,9.86917859355689,902131
eme_dummy,0.135738601156595,1.03031238189016,902131
