"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.8325*** (0.1849),0.7889*** (0.1843),"1,477.7* (737.0)","1,453.5* (736.4)",0.0215*** (0.0042),0.0204*** (0.0042),0.0091* (0.0037),0.0090* (0.0037)
male,-3.546*** (0.0188),-3.555*** (0.0187),-536.3*** (140.6),-541.6*** (141.0),-0.0174*** (0.0004),-0.0176*** (0.0004),-0.0013*** (0.0004),-0.0013*** (0.0004)
patient_male,-0.0346. (0.0187),-0.0399* (0.0186),3.206 (140.6),0.2296 (140.6),-7.5e-5 (0.0004),-0.0002 (0.0004),-2.91e-5 (0.0004),-4.54e-5 (0.0004)
Fixed-Effects:,------------------,------------------,-----------------,-----------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,_________________,_________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"6,396,376","6,396,085","6,396,376","6,396,085","6,396,376","6,396,085","6,396,376","6,396,085"
R2,0.04564,0.04868,0.00079,0.00081,0.00543,0.00662,0.00637,0.00642
Within R2,0.03472,0.03508,1.92e-5,1.95e-5,0.00059,0.00060,1.24e-5,1.27e-5
