"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.5812** (0.2202),0.5531* (0.2196),"1,303.8 (875.8)","1,286.4 (875.2)",0.0165** (0.0051),0.0158** (0.0051),0.0060 (0.0047),0.0060 (0.0047)
male,-3.620*** (0.0254),-3.634*** (0.0252),-623.1*** (180.8),-634.7*** (180.8),-0.0197*** (0.0006),-0.0201*** (0.0006),-0.0018*** (0.0005),-0.0019*** (0.0005)
patient_male,-0.0665** (0.0253),-0.0764** (0.0251),-268.9 (183.5),-276.0 (183.1),-0.0004 (0.0006),-0.0006 (0.0006),-0.0003 (0.0005),-0.0003 (0.0005)
Fixed-Effects:,------------------,------------------,-----------------,-----------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,_________________,_________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"3,602,081","3,601,901","3,602,081","3,601,901","3,602,081","3,601,901","3,602,081","3,601,901"
R2,0.04563,0.04926,0.00085,0.00091,0.00587,0.00728,0.00628,0.00635
Within R2,0.03533,0.03587,2.87e-5,2.98e-5,0.00074,0.00076,1.82e-5,1.89e-5
