"",income_reg_list[[1]],income_reg_list[[..,log_income_reg_l..,log_income_reg_l..,work_reg_list[[1]],work_reg_list[[2]],edu_reg_list[[1]],edu_reg_list[[2]],edu_reg_list[[3]],edu_reg_list[[4]]
Dependent Var.:,income,income,log_income,log_income,work,work,highest_edu,highest_edu,bachelor,bachelor
 , , , , , , , , , , 
CP,"-12,914.0. (7,047.3)","-10,742.0 (6,984.2)",-0.0229. (0.0139),-0.0178 (0.0137),-0.0134 (0.0117),-0.0132 (0.0116),0.0362 (0.0637),0.0913 (0.0614),0.0169 (0.0121),0.0264* (0.0117)
male,"19,296.1*** (702.9)","19,102.2*** (696.1)",0.0573*** (0.0013),0.0561*** (0.0013),-0.0260*** (0.0011),-0.0257*** (0.0011),-0.3185*** (0.0064),-0.3244*** (0.0062),-0.0764*** (0.0012),-0.0774*** (0.0012)
patient_male,"-1,460.6* (705.7)","-1,281.5. (698.8)",-0.0026* (0.0013),-0.0022. (0.0013),-0.0018 (0.0011),-0.0017 (0.0011),-0.0258*** (0.0064),-0.0239*** (0.0062),-0.0049*** (0.0012),-0.0046*** (0.0012)
Fixed-Effects:,--------------------,-------------------,------------------,------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,____________________,___________________,__________________,__________________,___________________,___________________,___________________,___________________,___________________,___________________
S.E. type,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.,Heteroskedast.-rob.
Observations,"4,895,035","4,894,819","3,511,268","3,511,154","4,895,035","4,894,819","532,160","532,140","532,160","532,140"
R2,0.05356,0.06496,0.10352,0.11499,0.00493,0.00885,0.06286,0.12949,0.07711,0.13093
Within R2,0.00130,0.00129,0.00272,0.00264,0.00084,0.00082,0.00462,0.00516,0.00716,0.00781
