"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,1.442*** (0.3922),1.431*** (0.3902),"2,674.9*** (550.4)","2,681.8*** (549.3)",0.0532*** (0.0087),0.0531*** (0.0087),0.0296*** (0.0086),0.0297*** (0.0087)
male,0.9638*** (0.0348),0.9711*** (0.0348),"1,720.3*** (158.1)","1,721.2*** (157.5)",0.0404*** (0.0008),0.0405*** (0.0008),0.0102*** (0.0006),0.0102*** (0.0006)
patient_male,0.0124 (0.0348),0.0153 (0.0348),-134.2 (169.8),-134.6 (170.5),0.0003 (0.0008),0.0004 (0.0008),-0.0003 (0.0006),-0.0003 (0.0006)
Fixed-Effects:,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"1,925,501","1,925,485","1,925,501","1,925,485","1,925,501","1,925,485","1,925,501","1,925,485"
R2,0.22487,0.22645,0.00490,0.00495,0.03841,0.03910,0.00189,0.00193
Within R2,0.00203,0.00207,0.00040,0.00040,0.00276,0.00278,0.00077,0.00077
