"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,1.213** (0.4329),1.205** (0.4323),"1,353.8 (1,364.1)","1,289.3 (1,384.3)",0.0137 (0.0094),0.0144 (0.0094),0.0027 (0.0076),0.0027 (0.0076)
male,-3.978*** (0.1638),-3.976*** (0.1636),"659.1 (1,254.2)","724.0 (1,303.4)",-0.0126*** (0.0038),-0.0123** (0.0038),0.0030 (0.0032),0.0031 (0.0032)
patient_male,0.4295* (0.1739),0.3842* (0.1742),"-2,265.7 (1,868.7)","-2,400.9 (1,948.6)",0.0092* (0.0040),0.0081* (0.0040),0.0024 (0.0035),0.0021 (0.0035)
Fixed-Effects:,------------------,------------------,------------------,------------------,-------------------,------------------,---------------,---------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,__________________,__________________,___________________,__________________,_______________,_______________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"93,330","93,328","93,330","93,328","93,330","93,328","93,330","93,328"
R2,0.05177,0.05421,0.00346,0.00392,0.00786,0.00919,0.01499,0.01542
Within R2,0.03591,0.03583,0.00020,0.00023,0.00044,0.00041,5.63e-5,5.32e-5
