"",income_reg_list[[1]],income_reg_list[[2]],log_income_reg_li..,log_income_reg_li..,work_reg_list[[1]],work_reg_list[[2]]
Dependent Var.:,income,income,log_income,log_income,work,work
 , , , , , , 
CP,"-16,329.7*** (3,989.3)","-13,703.7*** (3,972.0)",-0.0303*** (0.0081),-0.0246** (0.0081),-0.0207** (0.0066),-0.0197** (0.0065)
male,"18,098.2*** (405.4)","18,237.3*** (401.7)",0.0507*** (0.0008),0.0504*** (0.0008),-0.0233*** (0.0006),-0.0231*** (0.0006)
patient_male,"-1,578.2*** (406.6)","-1,373.9*** (402.8)",-0.0031*** (0.0008),-0.0027*** (0.0008),-0.0015* (0.0006),-0.0015* (0.0006)
Fixed-Effects:,----------------------,----------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes
__________________,______________________,______________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"14,827,988","14,827,283","10,548,948","10,548,584","14,827,988","14,827,283"
R2,0.05337,0.06451,0.10288,0.11473,0.00519,0.00939
Within R2,0.00114,0.00117,0.00210,0.00210,0.00067,0.00066
