"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.8942*** (0.1657),0.8838*** (0.1652),"1,655.8*** (225.1)","1,641.7*** (225.6)",0.0405*** (0.0039),0.0396*** (0.0039),0.0170*** (0.0031),0.0170*** (0.0031)
male,1.032*** (0.0164),1.038*** (0.0164),"1,873.9*** (153.7)","1,879.1*** (154.4)",0.0407*** (0.0004),0.0408*** (0.0004),0.0104*** (0.0003),0.0104*** (0.0003)
patient_male,0.0316. (0.0164),0.0318. (0.0164),-204.4 (155.2),-203.8 (155.0),-9.38e-5 (0.0004),-6.69e-5 (0.0004),-7.02e-5 (0.0003),-6.64e-5 (0.0003)
Fixed-Effects:,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"8,653,690","8,653,634","8,653,690","8,653,634","8,653,690","8,653,634","8,653,690","8,653,634"
R2,0.22185,0.22322,0.00147,0.00149,0.04059,0.04133,0.00188,0.00189
Within R2,0.00234,0.00237,0.00014,0.00015,0.00272,0.00275,0.00075,0.00075
