"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme,eme,eme_dummy,eme_dummy,chronic,chronic,major,major
 , , , , , , , , , , , , 
CP,0.7392** (0.2857),0.7760** (0.2856),"1,266.5 (1,016.4)","1,282.3 (1,015.5)",0.0854 (0.0550),0.0866 (0.0549),0.0053 (0.0066),0.0059 (0.0065),0.0107. (0.0062),0.0111. (0.0062),0.0168** (0.0058),0.0169** (0.0058)
male,-4.988*** (0.0326),-4.991*** (0.0325),"-1,259.7*** (251.9)","-1,261.5*** (251.5)",-0.0470*** (0.0029),-0.0471*** (0.0029),-0.0213*** (0.0007),-0.0214*** (0.0007),-0.0022** (0.0007),-0.0022** (0.0007),-0.0055*** (0.0006),-0.0055*** (0.0006)
patient_male,0.0103 (0.0322),0.0076 (0.0321),-334.3 (274.7),-338.7 (274.6),-0.0056. (0.0030),-0.0057. (0.0030),-0.0004 (0.0007),-0.0006 (0.0007),-0.0006 (0.0007),-0.0006 (0.0007),-0.0008 (0.0006),-0.0008 (0.0006)
Fixed-Effects:,------------------,------------------,-------------------,-------------------,-------------------,-------------------,-------------------,-------------------,------------------,------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,___________________,___________________,___________________,___________________,___________________,___________________,__________________,__________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"2,998,168","2,997,950","2,998,168","2,997,950","2,998,168","2,997,950","2,998,168","2,997,950","2,998,168","2,997,950","2,998,168","2,997,950"
R2,0.06287,0.06519,0.00118,0.00121,0.00228,0.00250,0.00590,0.00654,0.02394,0.02427,0.00902,0.00908
Within R2,0.05502,0.05519,8.72e-5,8.76e-5,0.00043,0.00043,0.00074,0.00075,1.84e-5,1.9e-5,0.00015,0.00015
