"",marr_reg_list[[1]],marr_reg_list[[2]],fert_reg_list[[1]],fert_reg_list[[2]]
Dependent Var.:,marr,marr,fertility,fertility
 , , , , 
CP,-0.0191. (0.0101),-0.0224* (0.0100),-0.0014 (0.0028),-0.0019 (0.0028)
male,-0.1774*** (0.0010),-0.1750*** (0.0010),-0.0276*** (0.0002),-0.0270*** (0.0002)
patient_male,0.0315*** (0.0010),0.0329*** (0.0010),0.0047*** (0.0002),0.0050*** (0.0002)
Fixed-Effects:,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes
__________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID
Observations,"5,557,308","5,557,050","5,521,078","5,520,776"
R2,0.13862,0.14270,0.00623,0.00689
Within R2,0.03651,0.03582,0.00239,0.00231
