"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.5487*** (0.1453),0.5231*** (0.1450),912.9. (537.7),891.3. (537.6),0.0141*** (0.0037),0.0134*** (0.0037),0.0108** (0.0033),0.0108** (0.0033)
male,-2.465*** (0.0141),-2.483*** (0.0141),-364.0** (111.3),-378.1*** (111.7),-0.0039*** (0.0003),-0.0045*** (0.0003),-0.0030*** (0.0003),-0.0030*** (0.0003)
patient_male,0.0072 (0.0138),-0.0063 (0.0138),-63.11 (113.9),-73.74 (114.7),0.0011*** (0.0003),0.0007* (0.0003),-0.0001 (0.0003),-0.0002 (0.0003)
Fixed-Effects:,------------------,------------------,----------------,-----------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,________________,_________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"8,503,638","8,503,272","8,503,638","8,503,272","8,503,638","8,503,272","8,503,638","8,503,272"
R2,0.02702,0.02882,0.00082,0.00085,0.00348,0.00429,0.00631,0.00635
Within R2,0.01955,0.01985,9.68e-6,1.04e-5,3.65e-5,4.35e-5,5.02e-5,5.22e-5
