"",income_reg_list[[1]],income_reg_list[[2]],log_income_reg_li..,log_income_reg_li..,work_reg_list[[1]],work_reg_list[[2]]
Dependent Var.:,income,income,log_income,log_income,work,work
 , , , , , , 
CP,"-17,307.1*** (4,353.4)","-15,505.0*** (4,339.5)",-0.0211* (0.0090),-0.0172. (0.0090),-0.0323*** (0.0077),-0.0317*** (0.0076)
male,"-10,886.5*** (420.9)","-9,767.5*** (418.8)",0.0039*** (0.0009),0.0059*** (0.0009),-0.0580*** (0.0007),-0.0579*** (0.0007)
patient_male,"-5,617.7*** (424.1)","-4,802.2*** (421.8)",-0.0109*** (0.0009),-0.0091*** (0.0009),-0.0051*** (0.0007),-0.0050*** (0.0007)
Fixed-Effects:,----------------------,----------------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes
__________________,______________________,______________________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"8,503,638","8,503,272","6,163,943","6,163,722","8,503,638","8,503,272"
R2,0.04227,0.04862,0.07940,0.08621,0.00768,0.01198
Within R2,0.00063,0.00050,0.00011,9.66e-5,0.00421,0.00420
