"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8,model 9,model 10,model 11,model 12
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme,eme,eme_dummy,eme_dummy,chronic,chronic,major,major
 , , , , , , , , , , , , 
CP,0.6688* (0.2696),0.6651* (0.2688),"1,469.6*** (365.5)","1,449.4*** (372.1)",0.0853*** (0.0169),0.0847*** (0.0169),0.0291*** (0.0065),0.0289*** (0.0065),0.0126. (0.0065),0.0127. (0.0065),0.0177*** (0.0049),0.0176*** (0.0049)
male,1.230*** (0.0318),1.235*** (0.0317),"2,083.2*** (418.3)","2,089.7*** (423.7)",0.0754*** (0.0018),0.0755*** (0.0018),0.0432*** (0.0008),0.0432*** (0.0008),0.0150*** (0.0008),0.0150*** (0.0008),0.0105*** (0.0005),0.0105*** (0.0005)
patient_male,0.0733* (0.0318),0.0729* (0.0317),141.5 (403.3),145.0 (403.8),-0.0013 (0.0018),-0.0011 (0.0018),-0.0005 (0.0008),-0.0004 (0.0008),0.0011 (0.0008),0.0011 (0.0008),0.0003 (0.0005),0.0003 (0.0005)
Fixed-Effects:,-----------------,-----------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes
__________________,_________________,_________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"1,570,601","1,570,586","1,570,601","1,570,586","1,570,601","1,570,586","1,570,601","1,570,586","1,570,601","1,570,586","1,570,601","1,570,586"
R2,0.20936,0.21125,0.00122,0.00125,0.04073,0.04102,0.04305,0.04332,0.03646,0.03659,0.00197,0.00201
Within R2,0.00273,0.00276,0.00013,0.00013,0.00208,0.00209,0.00266,0.00267,0.00041,0.00041,0.00077,0.00077
