"",model 1,model 2,model 3,model 4,model 5,model 6,model 7,model 8
Dependent Var.:,outpatient_count,outpatient_count,total_dot,total_dot,eme_dummy,eme_dummy,major,major
 , , , , , , , , 
CP,0.9918*** (0.1885),0.9853*** (0.1876),"1,806.8*** (259.5)","1,794.6*** (259.7)",0.0357*** (0.0043),0.0347*** (0.0043),0.0154*** (0.0034),0.0153*** (0.0034)
male,1.033*** (0.0164),1.038*** (0.0163),"1,883.6*** (153.6)","1,888.7*** (154.3)",0.0407*** (0.0004),0.0409*** (0.0004),0.0104*** (0.0003),0.0104*** (0.0003)
patient_male,0.0328* (0.0164),0.0330* (0.0163),-193.8 (155.1),-193.1 (154.8),-8.99e-5 (0.0004),-6.58e-5 (0.0004),-2.7e-5 (0.0003),-2.33e-5 (0.0003)
Fixed-Effects:,------------------,------------------,------------------,------------------,------------------,------------------,------------------,------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,Yes,No,Yes,No,Yes,No,Yes
mother_edu,No,Yes,No,Yes,No,Yes,No,Yes
__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________,__________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"8,672,949","8,672,893","8,672,949","8,672,893","8,672,949","8,672,893","8,672,949","8,672,893"
R2,0.22180,0.22318,0.00147,0.00149,0.04058,0.04132,0.00187,0.00188
Within R2,0.00234,0.00237,0.00015,0.00015,0.00271,0.00274,0.00074,0.00074
