"",marr_reg_list[..,marr_reg_list[[2]],marr_reg_list[[3]],marr_reg_list[[4]],marr_reg_list[[5]],fert_reg_list..,fert_reg_list[[2]],fert_reg_list[[3]],fert_reg_list[[4]],fert_reg_list[[5]]
Dependent Var.:,marr,marr,marr,marr,marr,fertility,fertility,fertility,fertility,fertility
 , , , , , , , , , , 
CP,-0.0028 (0.0058),-0.0031 (0.0057),-0.0045 (0.0057),0.0015 (0.0084),-0.0002 (0.0084),0.0013 (0.0014),0.0013 (0.0014),0.0010 (0.0014),0.0045* (0.0021),0.0041* (0.0021)
male,  ,-0.0866*** (0.0006),-0.0866*** (0.0006),-0.0866*** (0.0006),-0.0866*** (0.0006),  ,-0.0109*** (0.0001),-0.0109*** (0.0001),-0.0109*** (0.0001),-0.0109*** (0.0001)
patient_male,  ,-0.0014* (0.0006),-0.0015* (0.0006),-0.0014* (0.0006),-0.0015* (0.0006),  ,-0.0008*** (0.0001),-0.0008*** (0.0001),-0.0008*** (0.0001),-0.0008*** (0.0001)
CP x male,  ,  ,  ,-0.0091 (0.0114),-0.0084 (0.0113),  ,  ,  ,-0.0063* (0.0028),-0.0062* (0.0028)
Fixed-Effects:,----------------,-------------------,-------------------,-------------------,-------------------,---------------,-------------------,-------------------,-------------------,-------------------
birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
patient_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
f_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
m_birth_year,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
father_edu,No,No,Yes,No,Yes,No,No,Yes,No,Yes
mother_edu,No,No,Yes,No,Yes,No,No,Yes,No,Yes
__________________,________________,___________________,___________________,___________________,___________________,_______________,___________________,___________________,___________________,___________________
S.E.: Clustered,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID,by: ID
Observations,"12,933,929","12,933,929","12,933,358","12,933,929","12,933,358","13,306,951","13,306,951","13,306,315","13,306,951","13,306,315"
R2,0.16291,0.17181,0.17281,0.17181,0.17281,0.00644,0.00702,0.00729,0.00702,0.00729
Within R2,1.1e-7,0.01063,0.01065,0.01063,0.01065,7.67e-8,0.00058,0.00058,0.00058,0.00058
